id,deviceID,datetime,pm25,pm10,aqi,co2,voc,temp,humidity,battery,viral_index
5985,DELCPCB010,2024-05-01 00:01:00,148,423,391,0,0,0,0,5,0
6003,DELCPCB010,2024-05-01 00:46:00,146,526,520,0,0,0,0,5,0
6130,DELCPCB010,2024-05-01 06:46:00,0,171,147,0,0,0,0,5,0
6131,DELCPCB010,2024-05-01 07:01:00,0,189,159,0,0,0,0,5,0
6141,DELCPCB010,2024-05-01 07:16:00,0,192,161,0,0,0,0,5,0
6175,DELCPCB010,2024-05-01 08:46:00,0,207,171,0,0,0,0,5,0
6214,DELCPCB010,2024-05-01 10:46:00,0,309,259,0,0,0,0,5,0
6235,DELCPCB010,2024-05-01 11:46:00,0,188,159,0,0,0,0,5,0
6253,DELCPCB010,2024-05-01 12:46:00,0,111,107,0,0,0,0,5,0
6272,DELCPCB010,2024-05-01 13:46:00,0,194,163,0,0,0,0,5,0
6288,DELCPCB010,2024-05-01 14:16:00,0,213,175,0,0,0,0,5,0
6297,DELCPCB010,2024-05-01 14:46:00,0,209,173,0,0,0,0,5,0
6318,DELCPCB010,2024-05-01 15:46:00,0,191,161,0,0,0,0,5,0
6355,DELCPCB010,2024-05-01 17:46:00,0,164,143,0,0,0,0,5,0
6376,DELCPCB010,2024-05-01 18:46:00,0,138,125,0,0,0,0,5,0
6432,DELCPCB010,2024-05-01 21:46:00,0,201,167,0,0,0,0,5,0
6453,DELCPCB010,2024-05-01 22:46:00,0,187,158,0,0,0,0,5,0
6476,DELCPCB010,2024-05-01 23:46:00,0,226,184,0,0,0,0,5,0
6486,DELCPCB010,2024-05-02 00:16:00,0,220,180,0,0,0,0,5,0
6492,DELCPCB010,2024-05-02 00:31:00,0,219,179,0,0,0,0,5,0
6541,DELCPCB010,2024-05-02 02:46:00,0,223,182,0,0,0,0,5,0
6554,DELCPCB010,2024-05-02 03:16:00,0,228,185,0,0,0,0,5,0
6565,DELCPCB010,2024-05-02 03:46:00,0,206,171,0,0,0,0,5,0
6584,DELCPCB010,2024-05-02 05:01:00,0,190,160,0,0,0,0,5,0
6624,DELCPCB010,2024-05-02 06:46:00,0,231,187,0,0,0,0,5,0
6626,DELCPCB010,2024-05-02 07:01:00,104,250,247,0,0,0,0,5,0
6645,DELCPCB010,2024-05-02 07:46:00,107,266,257,0,0,0,0,5,0
6688,DELCPCB010,2024-05-02 09:01:00,0,186,157,0,0,0,0,5,0
6709,DELCPCB010,2024-05-02 11:01:00,0,138,125,0,0,0,0,5,0
6735,DELCPCB010,2024-05-02 11:36:00,0,217,178,0,0,0,0,5,0
6757,DELCPCB010,2024-05-02 13:01:00,0,178,152,0,0,0,0,5,0
6800,DELCPCB010,2024-05-02 15:01:00,0,122,115,0,0,0,0,5,0
6821,DELCPCB010,2024-05-02 16:01:00,0,134,123,0,0,0,0,5,0
6847,DELCPCB010,2024-05-02 17:16:00,0,148,132,0,0,0,0,5,0
6904,DELCPCB010,2024-05-02 20:01:00,160,247,331,0,0,0,0,5,0
6915,DELCPCB010,2024-05-02 20:31:00,140,249,315,0,0,0,0,5,0
6921,DELCPCB010,2024-05-02 20:46:00,125,231,304,0,0,0,0,5,0
6961,DELCPCB010,2024-05-02 22:46:00,145,333,319,0,0,0,0,5,0
6984,DELCPCB010,2024-05-02 23:46:00,179,391,351,0,0,0,0,5,0
7027,DELCPCB010,2024-05-03 01:46:00,194,366,357,0,0,0,0,5,0
7037,DELCPCB010,2024-05-03 02:01:00,194,352,357,0,0,0,0,5,0
7050,DELCPCB010,2024-05-03 02:46:00,169,341,338,0,0,0,0,5,0
7069,DELCPCB010,2024-05-03 03:46:00,178,376,345,0,0,0,0,5,0
7114,DELCPCB010,2024-05-03 05:46:00,188,366,352,0,0,0,0,5,0
7134,DELCPCB010,2024-05-03 06:46:00,193,410,375,0,0,0,0,5,0
7171,DELCPCB010,2024-05-03 08:31:00,190,422,390,0,0,0,0,5,0
7194,DELCPCB010,2024-05-03 09:46:00,108,428,398,0,0,0,0,5,0
7215,DELCPCB010,2024-05-03 10:46:00,0,215,177,0,0,0,0,5,0
7222,DELCPCB010,2024-05-03 11:15:05,0,0,0,0,0,0,0,0,0
7236,DELCPCB010,2024-05-03 11:36:00,0,282,232,0,0,0,0,5,0
7260,DELCPCB010,2024-05-03 12:41:00,0,229,186,0,0,0,0,5,0
7276,DELCPCB010,2024-05-03 12:51:00,0,209,173,0,0,0,0,5,0
7305,DELCPCB010,2024-05-03 14:46:00,0,168,145,0,0,0,0,5,0
7343,DELCPCB010,2024-05-03 16:16:00,0,172,148,0,0,0,0,5,0
7363,DELCPCB010,2024-05-03 17:46:00,0,195,163,0,0,0,0,5,0
7382,DELCPCB010,2024-05-03 18:31:00,0,200,167,0,0,0,0,5,0
7387,DELCPCB010,2024-05-03 18:46:00,0,208,172,0,0,0,0,5,0
7424,DELCPCB010,2024-05-03 19:36:00,0,235,190,0,0,0,0,5,0
7450,DELCPCB010,2024-05-03 21:16:00,152,329,325,0,0,0,0,5,0
7484,DELCPCB010,2024-05-03 23:16:00,178,366,345,0,0,0,0,5,0
7517,DELCPCB010,2024-05-04 00:46:00,186,542,540,0,0,0,0,5,0
7527,DELCPCB010,2024-05-04 01:16:00,193,567,571,0,0,0,0,5,0
7557,DELCPCB010,2024-05-04 02:46:00,157,408,372,0,0,0,0,5,0
7599,DELCPCB010,2024-05-04 04:46:00,116,264,287,0,0,0,0,5,0
7631,DELCPCB010,2024-05-04 06:16:00,226,413,382,0,0,0,0,5,0
7648,DELCPCB010,2024-05-04 07:01:00,260,460,438,0,0,0,0,5,0
7666,DELCPCB010,2024-05-04 07:46:00,275,485,469,0,0,0,0,5,0
7706,DELCPCB010,2024-05-04 09:46:00,204,359,365,0,0,0,0,5,0
7707,DELCPCB010,2024-05-04 10:01:00,226,456,432,0,0,0,0,5,0
7723,DELCPCB010,2024-05-04 10:46:00,187,519,511,0,0,0,0,5,0
7737,DELCPCB010,2024-05-04 11:31:00,140,305,315,0,0,0,0,5,0
7826,DELCPCB010,2024-05-04 16:46:00,0,165,143,0,0,0,0,5,0
7863,DELCPCB010,2024-05-04 18:41:00,0,201,167,0,0,0,0,5,0
7884,DELCPCB010,2024-05-04 19:31:00,133,407,371,0,0,0,0,5,0
7908,DELCPCB010,2024-05-04 20:46:00,142,407,371,0,0,0,0,5,0
7920,DELCPCB010,2024-05-04 21:16:00,120,390,350,0,0,0,0,5,0
7949,DELCPCB010,2024-05-04 22:46:00,139,377,334,0,0,0,0,5,0
7971,DELCPCB010,2024-05-04 23:46:00,128,348,306,0,0,0,0,5,0
8013,DELCPCB010,2024-05-05 01:46:00,169,522,515,0,0,0,0,5,0
8037,DELCPCB010,2024-05-05 02:46:00,134,371,326,0,0,0,0,5,0
8043,DELCPCB010,2024-05-05 03:01:00,128,345,306,0,0,0,0,5,0
8058,DELCPCB010,2024-05-05 03:46:00,115,349,299,0,0,0,0,5,0
8083,DELCPCB010,2024-05-05 04:46:00,0,247,198,0,0,0,0,5,0
8084,DELCPCB010,2024-05-05 05:01:00,0,235,190,0,0,0,0,5,0
8123,DELCPCB010,2024-05-05 06:46:00,239,404,392,0,0,0,0,5,0
8188,DELCPCB010,2024-05-05 09:46:00,119,279,297,0,0,0,0,5,0
