date,pm25,pm10,aqi
2024-05-01,69.83739837398375,256.0487804878049,232.66666666666666
2024-05-02,87.56060606060606,250.06060606060606,234.18939393939394
2024-05-03,147.89473684210526,376.2631578947368,385.8721804511278
2024-05-04,181.57943925233644,368.1869158878505,379.86915887850466
2024-05-05,124.86466165413533,267.77443609022555,281.2631578947368
2024-05-06,115.26315789473684,354.61654135338347,332.69172932330827
2024-05-07,166.9203539823009,341.1592920353982,367.62831858407077
2024-05-08,86.36082474226804,239.28865979381445,214.09278350515464
2024-05-09,64.29166666666667,171.125,160.54166666666666
2024-05-10,77.77685950413223,185.5785123966942,176.93388429752065
2024-05-11,63.432432432432435,201.7972972972973,212.52702702702703
2024-05-12,82.41843971631205,216.8581560283688,248.31914893617022
2024-05-13,96.29861111111111,229.53472222222223,255.375
2024-05-14,106.39166666666667,243.6,273.81666666666666
2024-05-15,114.33108108108108,286.4594594594595,326.97972972972974
2024-05-16,117.0738255033557,308.1543624161074,319.3489932885906
2024-05-17,88.79861111111111,259.27777777777777,265.0833333333333
2024-05-18,107.0431654676259,308.71942446043164,291.53956834532374
2024-05-19,88.65116279069767,267.29457364341084,254.15503875968992
2024-05-20,88.08275862068966,297.1448275862069,260.8344827586207
2024-05-21,96.8108108108108,285.6126126126126,270.7567567567568
2024-05-22,80.95172413793104,208.15862068965518,197.4
2024-05-23,55.68939393939394,159.0,140.40151515151516
2024-05-24,90.63087248322148,139.3288590604027,172.04697986577182
2024-05-25,80.86713286713287,174.8951048951049,193.6993006993007
2024-05-26,88.32191780821918,212.5205479452055,239.986301369863
2024-05-27,100.4,258.016,257.832
2024-05-28,140.0431654676259,228.4748201438849,283.57553956834533
2024-05-29,72.504,258.808,236.208
2024-05-30,56.691275167785236,203.51006711409397,180.21476510067114
2024-05-31,66.7448275862069,211.1448275862069,200.29655172413794
