CreatedDate,pm25_Robin: Living room,pm10_Robin: Living room,aqi_Robin: Living room
01-05-2024 00:15,38,99,99
01-05-2024 00:30,38,99,99
01-05-2024 00:45,38,100,100
01-05-2024 01:00,38,100,100
01-05-2024 01:15,39,101,101
01-05-2024 01:30,38,100,100
01-05-2024 01:45,38,101,101
01-05-2024 02:00,40,104,103
01-05-2024 02:15,44,117,111
01-05-2024 02:30,51,135,123
01-05-2024 02:45,56,149,133
01-05-2024 03:00,59,153,135
01-05-2024 03:15,60,155,137
01-05-2024 03:30,60,155,137
01-05-2024 03:45,58,152,135
01-05-2024 04:00,54,143,129
01-05-2024 04:15,46,121,114
01-05-2024 04:30,38,100,100
01-05-2024 04:45,34,89,89
01-05-2024 05:00,34,90,90
01-05-2024 05:15,34,89,89
01-05-2024 05:30,52,125,117
01-05-2024 05:45,44,120,113
01-05-2024 06:00,42,113,109
01-05-2024 06:15,43,116,111
01-05-2024 06:30,52,142,128
01-05-2024 06:45,51,138,125
01-05-2024 07:00,53,146,131
01-05-2024 07:15,56,152,135
01-05-2024 07:30,58,154,136
01-05-2024 07:45,61,156,137
01-05-2024 08:00,60,157,138
01-05-2024 08:15,58,155,137
01-05-2024 08:30,59,156,137
01-05-2024 08:45,57,154,136
01-05-2024 09:00,55,150,133
01-05-2024 09:15,49,134,123
01-05-2024 09:30,44,120,113
01-05-2024 09:45,42,115,110
01-05-2024 10:00,43,117,111
01-05-2024 10:15,42,115,110
01-05-2024 10:30,39,106,104
01-05-2024 10:45,37,100,100
01-05-2024 11:00,37,101,101
01-05-2024 11:15,38,113,109
01-05-2024 11:30,41,131,121
01-05-2024 11:45,52,160,140
01-05-2024 12:00,60,170,147
01-05-2024 12:15,47,154,136
01-05-2024 12:30,40,130,120
01-05-2024 12:45,34,103,102
01-05-2024 13:00,35,109,106
01-05-2024 13:15,38,133,122
01-05-2024 13:30,31,97,97
01-05-2024 13:45,27,85,85
01-05-2024 14:00,25,76,76
01-05-2024 14:15,24,72,72
01-05-2024 14:30,24,68,68
01-05-2024 14:45,23,67,67
01-05-2024 15:00,24,69,69
01-05-2024 15:15,31,89,89
01-05-2024 15:30,39,107,105
01-05-2024 15:45,35,97,97
01-05-2024 16:00,36,103,102
01-05-2024 16:15,38,112,108
01-05-2024 16:30,38,117,111
01-05-2024 16:45,36,111,107
01-05-2024 17:00,47,148,132
01-05-2024 17:15,46,149,133
01-05-2024 17:30,42,140,127
01-05-2024 17:45,36,109,106
01-05-2024 18:00,30,89,89
01-05-2024 18:15,27,77,77
01-05-2024 18:30,25,71,71
01-05-2024 18:45,24,69,69
01-05-2024 19:00,25,71,71
01-05-2024 19:15,29,80,80
01-05-2024 19:30,33,90,90
01-05-2024 19:45,29,80,80
01-05-2024 20:00,28,78,78
01-05-2024 20:15,27,76,76
01-05-2024 20:30,30,81,81
01-05-2024 20:45,31,84,84
01-05-2024 21:00,31,82,82
01-05-2024 21:15,31,81,81
01-05-2024 21:30,31,83,83
01-05-2024 21:45,38,101,101
01-05-2024 22:00,42,111,107
01-05-2024 22:15,39,102,101
01-05-2024 22:30,38,101,101
01-05-2024 22:45,36,95,95
01-05-2024 23:00,34,87,87
01-05-2024 23:15,31,81,81
01-05-2024 23:30,30,78,78
01-05-2024 23:45,28,76,76
02-05-2024 00:00,28,75,75
02-05-2024 00:15,28,75,75
02-05-2024 00:30,28,76,76
02-05-2024 00:45,29,77,77
02-05-2024 01:00,30,79,79
02-05-2024 01:15,31,81,81
02-05-2024 01:30,33,87,87
02-05-2024 01:45,34,90,90
02-05-2024 02:00,36,94,94
02-05-2024 02:15,37,98,98
02-05-2024 02:30,38,101,101
02-05-2024 02:45,40,103,102
02-05-2024 03:00,40,105,103
02-05-2024 03:15,41,109,106
02-05-2024 03:30,41,110,107
02-05-2024 03:45,43,114,109
02-05-2024 04:00,42,112,108
02-05-2024 04:15,41,110,107
02-05-2024 04:30,41,108,105
02-05-2024 04:45,42,111,107
02-05-2024 05:00,46,122,115
02-05-2024 05:15,51,136,124
02-05-2024 05:30,55,147,131
02-05-2024 05:45,56,151,134
02-05-2024 06:00,59,154,136
02-05-2024 06:15,61,155,137
02-05-2024 06:30,63,157,138
02-05-2024 06:45,70,162,141
02-05-2024 07:00,79,170,163
02-05-2024 07:15,109,202,263
02-05-2024 07:30,115,210,283
02-05-2024 07:45,109,203,263
02-05-2024 08:00,98,191,227
02-05-2024 08:15,92,183,207
02-05-2024 08:30,86,177,187
02-05-2024 08:45,80,171,167
02-05-2024 09:00,71,163,142
02-05-2024 09:15,59,153,135
02-05-2024 09:30,53,141,127
02-05-2024 09:45,52,142,128
02-05-2024 10:00,46,124,116
02-05-2024 10:15,47,125,117
02-05-2024 10:30,45,120,113
02-05-2024 10:45,51,137,125
02-05-2024 11:00,53,143,129
02-05-2024 11:15,49,130,120
02-05-2024 11:30,45,120,113
02-05-2024 11:45,40,106,104
02-05-2024 12:00,38,101,101
02-05-2024 12:15,35,93,93
02-05-2024 12:30,33,87,87
02-05-2024 12:45,32,83,83
02-05-2024 13:00,30,79,79
02-05-2024 13:15,29,78,78
02-05-2024 13:30,29,77,77
02-05-2024 13:45,29,76,76
02-05-2024 14:00,28,76,76
02-05-2024 14:15,27,75,75
02-05-2024 14:30,26,72,72
02-05-2024 14:45,26,70,70
02-05-2024 15:00,26,70,70
02-05-2024 15:15,26,68,68
02-05-2024 15:30,26,69,69
02-05-2024 15:45,25,67,67
02-05-2024 16:00,25,67,67
02-05-2024 16:15,25,67,67
02-05-2024 16:30,26,68,68
02-05-2024 16:45,25,66,66
02-05-2024 17:00,24,65,65
02-05-2024 17:15,24,63,63
02-05-2024 17:30,23,61,61
02-05-2024 17:45,23,63,63
02-05-2024 18:00,23,63,63
02-05-2024 18:15,23,62,62
02-05-2024 18:30,23,62,62
02-05-2024 18:45,24,65,65
02-05-2024 19:00,26,69,69
02-05-2024 19:15,25,66,66
02-05-2024 19:30,50,117,111
02-05-2024 19:45,186,327,351
02-05-2024 20:00,217,378,375
02-05-2024 20:15,132,241,309
02-05-2024 20:30,81,172,170
02-05-2024 20:45,61,155,137
02-05-2024 21:00,56,150,133
02-05-2024 21:15,54,144,129
02-05-2024 21:30,52,137,125
02-05-2024 21:45,49,130,120
02-05-2024 22:00,46,122,115
02-05-2024 22:15,44,116,111
02-05-2024 22:30,41,107,105
02-05-2024 22:45,40,104,103
02-05-2024 23:00,39,103,102
02-05-2024 23:15,38,101,101
02-05-2024 23:30,38,100,100
02-05-2024 23:45,37,97,97
03-05-2024 00:00,36,95,95
03-05-2024 00:15,35,93,93
03-05-2024 00:30,35,92,92
03-05-2024 00:45,35,93,93
03-05-2024 01:00,36,95,95
03-05-2024 01:15,36,95,95
03-05-2024 01:30,36,95,95
03-05-2024 01:45,36,96,96
03-05-2024 02:00,38,100,100
03-05-2024 02:15,40,104,103
03-05-2024 02:30,42,112,108
03-05-2024 02:45,46,121,114
03-05-2024 03:00,50,134,123
03-05-2024 03:15,56,149,133
03-05-2024 03:30,63,156,137
03-05-2024 03:45,72,163,142
03-05-2024 04:00,81,171,170
03-05-2024 04:15,88,177,193
03-05-2024 04:30,92,182,207
03-05-2024 04:45,95,185,217
03-05-2024 05:00,98,189,227
03-05-2024 05:15,97,188,223
