CreatedDate,pm25_Hines Office: Workstation-1,pm10_Hines Office: Workstation-1,co2_Hines Office: Workstation-1,voc_Hines Office: Workstation-1,temperature_Hines Office: Workstation-1,humidity_Hines Office: Workstation-1
25-05-2024 16:00,60,197,403.5,87.5,26,55
25-05-2024 17:00,56.5,182.5,412,86.5,26,54
25-05-2024 18:00,55.5,176,409,115.5,26,55
25-05-2024 19:00,52.5,163,402,130.5,26,55
25-05-2024 20:00,50,153,401,131,26,54.5
25-05-2024 21:00,48.5,145.5,400.5,136,26,54
25-05-2024 22:00,49,146.5,454,159.5,26,54
25-05-2024 23:00,48.5,145,432,148.5,26,53.5
26-05-2024 00:00,46,135.5,410.5,149,26,53
26-05-2024 01:00,45.5,130,404.5,153,26,53
26-05-2024 02:00,52,169.5,414.5,184.5,26,54.5
26-05-2024 03:00,47.5,142.5,406.5,197.5,26,55
26-05-2024 04:00,47,139,402.5,201.5,26.5,55
26-05-2024 05:00,48.5,145,399.5,199.5,27,55
26-05-2024 06:00,51.5,159.5,402.5,227,27,55
26-05-2024 07:00,53.5,168,403,229.5,27,55
26-05-2024 08:00,55,173.5,406.5,235.5,27,54.5
26-05-2024 09:00,56,178,402,218.5,26,51.5
26-05-2024 10:00,53.5,168,415.5,252,27,50.5
26-05-2024 11:00,55.5,178,438.5,249,27,51.5
26-05-2024 12:00,59.5,200.5,437.5,217,27,54.5
26-05-2024 13:00,50,153.5,445,227,27,55.5
26-05-2024 14:00,52.5,180.5,469,254.5,27.5,53
26-05-2024 15:00,46.5,142,467.5,258.5,28,51
26-05-2024 16:00,43.5,126,546,279.5,28,51.5
26-05-2024 17:00,83.5,300.5,601,308.5,28,52
26-05-2024 18:00,85.5,322,611.5,290,28,51.5
26-05-2024 19:00,55,206.5,563.5,269,28,50
26-05-2024 20:00,47.5,154.5,514.5,237.5,28,49
26-05-2024 21:00,52,183,496.5,208,28,48.5
26-05-2024 22:00,47,141,471,201.5,27.5,48
26-05-2024 23:00,46.5,137.5,477.5,238,27,48
27-05-2024 00:00,60,202,495,257.5,27,48
27-05-2024 01:00,66.5,240,487.5,241.5,27,48
27-05-2024 02:00,56.5,181.5,444,216.5,27,47
27-05-2024 03:00,54.5,171.5,425,220.5,27,47
27-05-2024 04:00,54,169.5,414.5,227,27,46
27-05-2024 05:00,55,176,406,225.5,27,46
27-05-2024 06:00,56,180,402,223.5,27,46
27-05-2024 07:00,57,184,398,145.5,27,46
27-05-2024 08:00,46.5,133.5,426.5,169,26.5,42
27-05-2024 09:00,40.5,104,443,139,26,40
27-05-2024 10:00,37.5,91,478.5,151.5,25.5,41
27-05-2024 11:00,36.5,85,597,153.5,25,42
27-05-2024 12:00,39,97,737.5,131,25,41.5
27-05-2024 13:00,37.5,89,812,119.5,25,41
27-05-2024 14:00,32.5,73.5,855,105,25,41
27-05-2024 15:00,28.5,63,944,126.5,25,41
27-05-2024 16:00,24.5,54,957,105,25,41
27-05-2024 17:00,21.5,47.5,928.5,90.5,25,40
27-05-2024 18:00,20,44,894.5,85.5,24.5,40
27-05-2024 19:00,16.5,36.5,837,81.5,24,40.5
27-05-2024 20:00,17,36.5,735.5,75,24,40
27-05-2024 21:00,28,66.5,716.5,123.5,24.5,42
27-05-2024 22:00,58,229.5,769,202.5,25,45
27-05-2024 23:00,82.5,310,771,245.5,26,46.5
28-05-2024 00:00,94,327.5,708.5,241,26,47.5
28-05-2024 01:00,108,357,700.5,297.5,26,49.5
28-05-2024 02:00,87,308,625,279,26,47.5
28-05-2024 03:00,80,287.5,617,316,26,49
28-05-2024 04:00,81.5,292.5,580,300,27,49
28-05-2024 05:00,76,273,572,291,27,48.5
28-05-2024 06:00,84.5,301.5,616.5,361.5,27,50
28-05-2024 07:00,79.5,283,618.5,381.5,27,49.5
28-05-2024 08:00,68.5,236.5,514,279.5,27,48
28-05-2024 09:00,52,163,501.5,212.5,25.5,43.5
28-05-2024 10:00,44,124,503,152,24.5,42.5
28-05-2024 11:00,41,107,581,140,24,42
28-05-2024 12:00,33.5,77.5,679.5,121,24,42
28-05-2024 13:00,29,65.5,780,108.5,24,42
28-05-2024 14:00,20.5,45.5,910,125,23.5,42
28-05-2024 15:00,15.5,34.5,1018.5,146,23,42
28-05-2024 16:00,19.5,33.5,1119,191.5,23,42
28-05-2024 17:00,17,26,1135,190,23,42
28-05-2024 18:00,,,,,,
28-05-2024 19:00,,,,,,
28-05-2024 20:00,,,,,,
28-05-2024 21:00,,,,,,
28-05-2024 22:00,,,,,,
28-05-2024 23:00,,,,,,
29-05-2024 00:00,,,,,,
29-05-2024 01:00,,,,,,
29-05-2024 02:00,,,,,,
29-05-2024 03:00,,,,,,
29-05-2024 04:00,,,,,,
29-05-2024 05:00,,,,,,
29-05-2024 06:00,,,,,,
29-05-2024 07:00,,,,,,
29-05-2024 08:00,,,,,,
29-05-2024 09:00,,,,,,
29-05-2024 10:00,,,,,,
29-05-2024 11:00,,,,,,
29-05-2024 12:00,24,37,773,217,22,47
29-05-2024 13:00,22,33,865.5,130,24,42.5
29-05-2024 14:00,17.5,26.5,949.5,114.5,24,41
29-05-2024 15:00,18.5,28,962.5,112.5,24,41
29-05-2024 16:00,17.5,26.5,970.5,114,24,41.5
29-05-2024 17:00,13.5,20,991.5,119,24,42
29-05-2024 18:00,11.5,17,964,106,24,42
29-05-2024 19:00,13,20.5,938,136,24,42
29-05-2024 20:00,16.5,25.5,849.5,144.5,23,42
29-05-2024 21:00,42.5,83,816.5,186.5,23.5,44.5
29-05-2024 22:00,52.5,97.5,835.5,261,24,45.5
29-05-2024 23:00,53,94,847,270,25,47
30-05-2024 00:00,69.5,140,778,242,25,47
30-05-2024 01:00,225,406,748,247,25,47
