CreatedDate,pm25_Piyush: Living room ,pm10_Piyush: Living room ,aqi_Piyush: Living room 
01-05-2024 00:15,32,85,85
01-05-2024 00:30,32,85,85
01-05-2024 00:45,32,84,84
01-05-2024 01:00,31,83,83
01-05-2024 01:15,34,91,91
01-05-2024 01:30,38,104,103
01-05-2024 01:45,41,113,109
01-05-2024 02:00,41,112,108
01-05-2024 02:15,42,117,111
01-05-2024 02:30,47,131,121
01-05-2024 02:45,51,144,129
01-05-2024 03:00,52,145,130
01-05-2024 03:15,51,143,129
01-05-2024 03:30,49,139,126
01-05-2024 03:45,47,132,121
01-05-2024 04:00,42,116,111
01-05-2024 04:15,38,103,102
01-05-2024 04:30,34,92,92
01-05-2024 04:45,31,84,84
01-05-2024 05:00,29,77,77
01-05-2024 05:15,27,71,71
01-05-2024 05:30,25,67,67
01-05-2024 05:45,24,65,65
01-05-2024 06:00,23,63,63
01-05-2024 06:15,23,64,64
01-05-2024 06:30,25,67,67
01-05-2024 06:45,25,67,67
01-05-2024 07:00,25,66,66
01-05-2024 07:15,25,67,67
01-05-2024 07:30,27,73,73
01-05-2024 07:45,27,73,73
01-05-2024 08:00,28,75,75
01-05-2024 08:15,30,81,81
01-05-2024 08:30,32,86,86
01-05-2024 08:45,34,93,93
01-05-2024 09:00,36,101,101
01-05-2024 09:15,41,117,111
01-05-2024 09:30,43,121,114
01-05-2024 09:45,37,103,102
01-05-2024 10:00,31,85,85
01-05-2024 10:15,25,67,67
01-05-2024 10:30,22,60,60
01-05-2024 10:45,32,91,91
01-05-2024 11:00,25,70,70
01-05-2024 11:15,21,58,58
01-05-2024 11:30,19,49,49
01-05-2024 11:45,18,48,48
01-05-2024 12:00,18,54,54
01-05-2024 12:15,22,60,60
01-05-2024 12:30,17,42,42
01-05-2024 12:45,13,32,32
01-05-2024 13:00,10,25,25
01-05-2024 13:15,10,24,24
01-05-2024 13:30,11,25,25
01-05-2024 13:45,11,25,25
01-05-2024 14:00,11,26,26
01-05-2024 14:15,11,28,28
01-05-2024 14:30,12,29,29
01-05-2024 14:45,10,23,23
01-05-2024 15:00,10,24,24
01-05-2024 15:15,11,28,28
01-05-2024 15:30,12,30,30
01-05-2024 15:45,12,30,30
01-05-2024 16:00,13,31,31
01-05-2024 16:15,12,28,28
01-05-2024 16:30,13,31,31
01-05-2024 16:45,13,31,31
01-05-2024 17:00,22,58,58
01-05-2024 17:15,36,97,97
01-05-2024 17:30,30,80,80
01-05-2024 17:45,27,71,71
01-05-2024 18:00,23,61,61
01-05-2024 18:15,21,55,55
01-05-2024 18:30,19,48,48
01-05-2024 18:45,22,56,56
01-05-2024 19:00,43,119,113
01-05-2024 19:15,75,160,150
01-05-2024 19:30,110,208,267
01-05-2024 19:45,86,181,187
01-05-2024 20:00,66,162,141
01-05-2024 20:15,64,159,139
01-05-2024 20:30,58,154,136
01-05-2024 20:45,53,147,131
01-05-2024 21:00,50,139,126
01-05-2024 21:15,45,125,117
01-05-2024 21:30,39,108,105
01-05-2024 21:45,35,96,96
01-05-2024 22:00,33,89,89
01-05-2024 22:15,32,85,85
01-05-2024 22:30,30,81,81
01-05-2024 22:45,29,78,78
01-05-2024 23:00,27,74,74
01-05-2024 23:15,27,73,73
01-05-2024 23:30,27,71,71
01-05-2024 23:45,27,70,70
02-05-2024 00:00,27,71,71
02-05-2024 00:15,26,70,70
02-05-2024 00:30,26,69,69
02-05-2024 00:45,26,68,68
02-05-2024 01:00,26,68,68
02-05-2024 01:15,25,67,67
02-05-2024 01:30,26,68,68
02-05-2024 01:45,26,70,70
02-05-2024 02:00,26,69,69
02-05-2024 02:15,26,70,70
02-05-2024 02:30,27,73,73
02-05-2024 02:45,27,73,73
02-05-2024 03:00,27,75,75
02-05-2024 03:15,28,75,75
02-05-2024 03:30,28,77,77
02-05-2024 03:45,28,76,76
02-05-2024 04:00,28,76,76
02-05-2024 04:15,28,77,77
02-05-2024 04:30,28,76,76
02-05-2024 04:45,29,78,78
02-05-2024 05:00,29,77,77
02-05-2024 05:15,29,78,78
02-05-2024 05:30,30,80,80
02-05-2024 05:45,30,81,81
02-05-2024 06:00,32,85,85
02-05-2024 06:15,33,88,88
02-05-2024 06:30,33,87,87
02-05-2024 06:45,34,90,90
02-05-2024 07:00,35,97,97
02-05-2024 07:15,43,118,112
02-05-2024 07:30,53,148,132
02-05-2024 07:45,54,148,132
02-05-2024 08:00,55,151,134
02-05-2024 08:15,54,150,133
02-05-2024 08:30,51,142,128
02-05-2024 08:45,47,132,121
02-05-2024 09:00,46,128,119
02-05-2024 09:15,39,107,105
02-05-2024 09:30,36,97,97
02-05-2024 09:45,34,92,92
02-05-2024 10:00,200,312,362
02-05-2024 10:15,191,327,355
02-05-2024 10:30,421,560,562
02-05-2024 10:45,164,287,334
02-05-2024 11:00,90,185,200
02-05-2024 11:15,61,156,137
02-05-2024 11:30,86,181,187
02-05-2024 11:45,52,142,128
02-05-2024 12:00,36,99,99
02-05-2024 12:15,29,79,79
02-05-2024 12:30,27,73,73
02-05-2024 12:45,26,68,68
02-05-2024 13:00,25,66,66
02-05-2024 13:15,24,64,64
02-05-2024 13:30,22,60,60
02-05-2024 13:45,22,58,58
02-05-2024 14:00,22,58,58
02-05-2024 14:15,20,55,55
02-05-2024 14:30,20,51,51
02-05-2024 14:45,19,47,47
02-05-2024 15:00,19,46,46
02-05-2024 15:15,17,41,41
02-05-2024 15:30,17,41,41
02-05-2024 15:45,15,37,37
02-05-2024 16:00,16,38,38
02-05-2024 16:15,15,36,36
02-05-2024 16:30,15,35,35
02-05-2024 16:45,15,35,35
02-05-2024 17:00,14,34,34
02-05-2024 17:15,16,37,37
02-05-2024 17:30,15,36,36
02-05-2024 17:45,16,38,38
02-05-2024 18:00,19,46,46
02-05-2024 18:15,18,44,44
02-05-2024 18:30,17,42,42
02-05-2024 18:45,19,46,46
02-05-2024 19:00,21,53,53
02-05-2024 19:15,35,99,99
02-05-2024 19:30,44,126,117
02-05-2024 19:45,55,149,133
02-05-2024 20:00,69,164,143
02-05-2024 20:15,54,148,132
02-05-2024 20:30,47,132,121
02-05-2024 20:45,45,125,117
02-05-2024 21:00,43,120,113
02-05-2024 21:15,43,119,113
02-05-2024 21:30,45,126,117
02-05-2024 21:45,45,128,119
02-05-2024 22:00,46,130,120
02-05-2024 22:15,47,131,121
02-05-2024 22:30,48,135,123
02-05-2024 22:45,53,148,132
02-05-2024 23:00,54,150,133
02-05-2024 23:15,52,146,131
02-05-2024 23:30,50,140,127
02-05-2024 23:45,51,142,128
03-05-2024 00:00,49,138,125
03-05-2024 00:15,49,138,125
03-05-2024 00:30,49,138,125
03-05-2024 00:45,49,136,124
03-05-2024 01:00,49,138,125
03-05-2024 01:15,50,140,127
03-05-2024 01:30,52,146,131
03-05-2024 01:45,55,151,134
03-05-2024 02:00,57,153,135
03-05-2024 02:15,57,153,135
03-05-2024 02:30,58,155,137
03-05-2024 02:45,60,156,137
03-05-2024 03:00,60,157,138
03-05-2024 03:15,62,157,138
03-05-2024 03:30,63,159,139
03-05-2024 03:45,63,159,139
03-05-2024 04:00,64,160,140
03-05-2024 04:15,64,160,140
03-05-2024 04:30,64,160,140
03-05-2024 04:45,64,159,139
03-05-2024 05:00,64,159,139
03-05-2024 05:15,64,159,139
03-05-2024 05:30,64,160,140
03-05-2024 05:45,66,162,141
03-05-2024 06:00,72,167,145
03-05-2024 06:15,72,167,145
03-05-2024 06:30,73,168,145
03-05-2024 06:45,75,169,150
03-05-2024 07:00,77,171,157
03-05-2024 07:15,89,184,197
03-05-2024 07:30,93,188,210
03-05-2024 07:45,89,183,197
03-05-2024 08:00,86,180,187
03-05-2024 08:15,84,179,180
03-05-2024 08:30,92,187,207
03-05-2024 08:45,98,193,227
03-05-2024 09:00,93,188,210
03-05-2024 09:15,99,196,230
03-05-2024 09:30,86,181,187
03-05-2024 09:45,76,170,153
03-05-2024 10:00,80,175,167
03-05-2024 10:15,78,172,160
03-05-2024 10:30,70,165,143
03-05-2024 10:45,66,162,141
03-05-2024 11:00,64,159,139
03-05-2024 11:15,65,160,140
03-05-2024 11:30,60,156,137
03-05-2024 11:45,54,147,131
03-05-2024 12:00,37,100,100
03-05-2024 12:15,33,87,87
03-05-2024 12:30,154,270,326
03-05-2024 12:45,111,208,270
03-05-2024 13:00,83,178,177
03-05-2024 13:15,61,156,137
03-05-2024 13:30,43,120,113
03-05-2024 13:45,37,101,101
03-05-2024 14:00,43,123,115
03-05-2024 14:15,40,108,105
03-05-2024 14:30,38,103,102
03-05-2024 14:45,40,109,106
03-05-2024 15:00,37,97,97
03-05-2024 15:15,35,90,90
03-05-2024 15:30,32,80,80
03-05-2024 15:45,32,77,77
03-05-2024 16:00,30,70,70
