date,mean_pm2.5,mean_pm10,mean_aqi
01-05-2024,45.885195035,233.082372925,200.1539598
02-05-2024,60.992792825,224.6447614,203.289686725
03-05-2024,109.6133344675,301.26005354999995,278.2087684
04-05-2024,137.419270825,363.764756925,349.358680575
05-05-2024,108.6945997725,301.58675985,280.518558125
06-05-2024,91.2427916725,288.562182425,268.519555525
07-05-2024,107.3077463,292.514485475,281.270838125
08-05-2024,50.4499444025,247.54361325,206.53727779999997
09-05-2024,45.1499999975,182.1,168.445833325
10-05-2024,47.4808485375,227.46417415,204.42582342499998
11-05-2024,44.948689185,262.278246425,242.753685075
12-05-2024,58.8918734225,231.8640051,207.931108075
13-05-2024,72.0639639625,233.239076575,213.60388512499998
14-05-2024,80.17415134750001,258.9386819,236.227488
15-05-2024,86.94301470500001,250.3644608,231.1805147
16-05-2024,76.9641605625,252.98357525,227.404843775
17-05-2024,67.9160988325,258.05877787500003,235.14659755
18-05-2024,83.34233036250001,307.03908894999995,269.515404375
19-05-2024,84.8237897875,302.1788249,270.88004725
20-05-2024,64.3863945575,279.77542515000005,244.6372874
21-05-2024,57.25732037,279.29193202500005,240.48787634999996
22-05-2024,44.42454482,218.0945203,180.70989145
23-05-2024,35.36268939325,161.45770199999998,141.8342803
24-05-2024,33.1458966565,150.394788525,134.61675532499999
25-05-2024,43.635045275,198.461021525,171.22430672500002
26-05-2024,54.07007575750001,240.353535375,220.826893925
27-05-2024,61.31608677,270.674935575,238.47648195
28-05-2024,60.57291666500001,255.5,232.708854175
29-05-2024,48.2972394425,290.116930675,251.88892907499996
30-05-2024,35.505311265,245.86030140000005,208.897644925
31-05-2024,33.058748565,212.575164075,196.968005275
