Date,Mariyam_pm25,Mariyam_pm10,Mariyam_aqi,Robin_pm25,Robin_pm10,Robin_aqi,Piyush_pm25,Piyush_pm10,Piyush_aqi,Abhishek_pm25,Abhishek_pm10,Abhishek_aqi,Lakshmi_pm25,Lakshmi_pm10,Lakshmi_aqi,Surendar_pm25,Surendar_pm10,Surendar_aqi
01-05-2024,33.42708333,90.625,87.59375,40.01041666666666,110.80208333333331,105.13541666666669,31.09375,81.75,80.05208333333333,35.03125,86.84375,86.875,36.91666666666666,100.53125,95.27083333333331,41.84375,104.60416666666667,103.61458333333333
02-05-2024,42.97916667,108.84375,105.0833333,48.208333333333336,116.23958333333331,115.77083333333331,42.72916666666666,102.01041666666669,99.80208333333331,50.51041666666666,109.39583333333331,112.35416666666669,54.71875,129.08333333333334,131.54166666666666,59.15625,136.875,135.47916666666666
03-05-2024,83.85416667,194.6666667,200.5729167,79.6875,177.21875,173.47916666666666,63.989583333333336,164.625,150.83333333333334,69.60416666666667,168.1875,158.20833333333334,103.375,221.7708333333333,214.29166666666663,100.8125,215.11458333333334,222.90625
04-05-2024,112.2395833,299.09375,259.03125,97.72916666666669,262.1875,230.4375,82.70833333333333,238.375,205.1770833333333,122.32291666666669,290.7291666666667,270.2083333333333,129.66666666666666,313.6666666666667,280.0729166666667,112.03125,290.34375,252.33333333333334
05-05-2024,104.3541667,276.6979167,244.0104167,80.1875,229.65625,195.6145833333333,90.07692307692308,242.8333333333333,211.7692307692308,62.895833333333336,161.5,148.79166666666666,104.16666666666669,265.4791666666667,237.07291666666663,85.39583333333333,244.79166666666666,207.09375
06-05-2024,79.36458333,230.1979167,196.4270833,70.10416666666667,201.4270833333333,175.32291666666666,63.0,211.0,174.0,79.46875,196.69791666666663,184.16666666666663,90.52083333333331,237.2708333333333,211.0,76.92708333333333,223.36458333333334,190.78125
07-05-2024,122.125,309.8229167,273.3541667,97.75,276.5520833333333,235.60416666666663,72.4047619047619,206.45238095238096,180.14285714285714,101.82291666666669,237.13541666666663,215.75,143.5625,332.0,300.7708333333333,127.1875,314.2395833333333,274.0833333333333
08-05-2024,75.52083333,228.03125,188.2916667,74.57291666666667,231.5520833333333,190.3020833333333,64.21875,193.1145833333333,165.875,62.927083333333336,170.11458333333334,153.4375,73.97916666666667,243.5520833333333,197.76041666666663,83.375,248.92708333333334,203.35416666666666
09-05-2024,62.11458333,177.7083333,153.53125,63.125,186.44791666666663,160.67708333333334,48.84375,141.84375,128.46875,50.13541666666666,133.27083333333334,124.94791666666669,60.65625,195.6145833333333,164.0625,67.10416666666667,203.32291666666666,169.4375
10-05-2024,85.29166667,250.2708333,208.2083333,75.34375,225.2708333333333,188.5625,61.375,190.51041666666663,162.32291666666666,80.82291666666667,226.8333333333333,193.9895833333333,70.76041666666667,234.13541666666663,191.1875,81.22916666666667,250.55208333333334,203.42708333333334
11-05-2024,55.03125,152.7083333,135.5520833,48.208333333333336,140.91666666666666,122.875,79.80208333333333,190.47916666666663,178.47916666666666,49.1875,118.80208333333331,113.44791666666669,48.489583333333336,149.05208333333334,130.44791666666666,54.864583333333336,161.19791666666666,139.11458333333334
12-05-2024,73.45833333,221.75,184.7291667,59.82291666666666,181.71875,154.98958333333334,65.53125,195.84375,168.94791666666666,97.47916666666669,235.375,219.5625,74.59375,235.0208333333333,194.88541666666663,80.01041666666667,238.57291666666666,198.10416666666666
13-05-2024,87.45833333,271.09375,224.8645833,74.14583333333333,226.16666666666663,190.3125,77.3125,227.125,197.3020833333333,79.28125,224.79166666666663,194.85416666666663,77.77083333333333,239.51041666666663,200.51041666666663,91.90625,270.5625,225.09375
14-05-2024,83.45833333,262.8333333,222.7916667,75.14583333333333,226.3020833333333,193.7083333333333,68.30208333333333,222.46875,187.60416666666663,85.375,244.8020833333333,212.2708333333333,98.77083333333331,286.2395833333333,248.97916666666663,86.63541666666667,271.8229166666667,227.34375
15-05-2024,94.3125,294.7083333,249.8854167,89.09375,281.5625,234.2083333333333,76.64583333333333,245.19791666666663,206.13541666666663,79.875,230.60416666666663,198.6458333333333,92.64583333333331,289.8020833333333,243.7708333333333,92.66666666666667,294.1979166666667,246.03125
16-05-2024,82.3125,267.0208333,224.0520833,89.625,286.8541666666667,238.625,78.01724137931035,264.2931034482759,218.0344827586207,71.21875,220.72916666666663,187.0,86.45833333333333,295.6979166666667,245.69791666666663,98.01041666666667,314.2916666666667,264.2916666666667
17-05-2024,80.36458333,262.5729167,218.9583333,69.21875,217.03125,182.03125,62.96875,200.75,169.53125,86.27083333333333,237.625,212.8125,75.69791666666667,253.59375,211.1458333333333,85.42708333333333,274.7083333333333,228.90625
18-05-2024,77.52083333,250.3854167,211.7083333,72.46875,231.9270833333333,193.6458333333333,70.59722222222223,236.90277777777777,195.90277777777777,88.83333333333333,249.5520833333333,218.8645833333333,74.375,241.41666666666663,203.8958333333333,87.16666666666667,277.8958333333333,232.53125
19-05-2024,65.6875,203.9479167,175.5208333,64.10416666666667,195.3958333333333,168.25,49.46341463414634,141.17073170731706,126.46341463414636,51.875,156.60416666666666,137.76041666666666,77.14583333333333,230.72916666666663,200.51041666666663,91.11458333333333,247.83333333333334,217.02083333333334
20-05-2024,67.63541667,210.3541667,180.59375,64.07291666666667,183.9895833333333,162.375,62.16666666666666,183.01041666666663,160.16666666666666,51.04166666666666,155.5625,136.15625,53.364583333333336,165.90625,144.5625,61.614583333333336,190.20833333333334,163.01041666666666
