date,pm25,pm10,aqi
2024-05-09,91.0,182.0,203.0
2024-05-20,134.32432432432432,191.83783783783784,277.72972972972974
2024-05-21,116.46875,249.1875,294.109375
2024-05-22,89.26865671641791,267.089552238806,237.2089552238806
2024-05-23,68.98611111111111,162.08333333333334,165.93055555555554
2024-05-24,55.416666666666664,131.40277777777777,120.73611111111111
2024-05-25,72.36111111111111,197.80555555555554,177.875
2024-05-26,78.66666666666667,216.54166666666666,200.29166666666666
2024-05-27,107.48387096774194,282.3709677419355,301.11290322580646
2024-05-28,82.5,233.72972972972974,225.09459459459458
2024-05-29,72.79452054794521,211.24657534246575,183.9041095890411
2024-05-30,65.14285714285714,190.98809523809524,163.70238095238096
2024-05-31,70.73255813953489,271.13953488372096,263.8953488372093
