CreatedDate,Pm2.5,Pm10
08-04-2024 09:00,138.25,349.75
08-04-2024 10:00,154,388
08-04-2024 11:00,108.5,295.5
08-04-2024 12:00,48,171.5
08-04-2024 13:00,30.75,142
08-04-2024 14:00,23.5,125.25
08-04-2024 15:00,20.5,112.25
08-04-2024 16:00,15.5,119.5
08-04-2024 17:00,15,123.75
08-04-2024 18:00,18,108.5
08-04-2024 19:00,19.25,127.25
08-04-2024 20:00,25,164
08-04-2024 21:00,34.75,206.5
08-04-2024 22:00,50.5,236.25
08-04-2024 23:00,67.75,267
09-04-2024 00:00,81.75,257.75
09-04-2024 01:00,116.5,260.25
09-04-2024 02:00,203.75,357.25
09-04-2024 03:00,208.5,351.75
09-04-2024 04:00,144.25,279
09-04-2024 05:00,118.25,277.5
09-04-2024 06:00,117.25,273.75
09-04-2024 07:00,117.75,302.75
09-04-2024 08:00,131,366.5
09-04-2024 09:00,118.5,313
09-04-2024 10:00,106.5,279.5
09-04-2024 11:00,66.25,196
09-04-2024 12:00,41.75,142.25
09-04-2024 13:00,46.5,150.25
09-04-2024 14:00,45.5,148.25
09-04-2024 15:00,46.75,165.5
09-04-2024 16:00,41.5,174
09-04-2024 17:00,32,135.5
09-04-2024 18:00,40.25,139.75
09-04-2024 19:00,28,123.25
09-04-2024 20:00,30,152.25
09-04-2024 21:00,49,230
09-04-2024 22:00,70,274
09-04-2024 23:00,102.5,307.5
10-04-2024 00:00,116,297
10-04-2024 01:00,100.25,241.75
10-04-2024 02:00,81.25,195
10-04-2024 03:00,87.75,224.25
10-04-2024 04:00,93,205.25
10-04-2024 05:00,82.75,180.25
10-04-2024 06:00,79.25,172
10-04-2024 07:00,85.5,189
10-04-2024 08:00,103.5,272.5
10-04-2024 09:00,110.25,295.75
10-04-2024 10:00,112.75,304.25
10-04-2024 11:00,95.25,261
10-04-2024 12:00,76,224.75
10-04-2024 13:00,55.75,177.25
10-04-2024 14:00,38.5,141.75
10-04-2024 15:00,35.5,135.5
10-04-2024 16:00,40,151.75
10-04-2024 17:00,40,163.25
10-04-2024 18:00,40.67,155.67
10-04-2024 19:00,45.5,192.25
10-04-2024 20:00,60.75,256.75
10-04-2024 21:00,67.75,308.5
10-04-2024 22:00,42.25,315
10-04-2024 23:00,33.25,209
11-04-2024 00:00,42.5,205.75
11-04-2024 01:00,53.5,258.75
11-04-2024 02:00,66.25,338
11-04-2024 03:00,73.25,323.25
11-04-2024 04:00,72.5,279.5
11-04-2024 05:00,65,250
11-04-2024 06:00,56.5,237.75
11-04-2024 07:00,62.25,244.75
11-04-2024 08:00,96.5,310.5
11-04-2024 09:00,154.5,432.25
11-04-2024 10:00,126,391.25
11-04-2024 11:00,94,307.75
11-04-2024 12:00,68.25,237.25
11-04-2024 13:00,34.5,136
11-04-2024 14:00,29.25,132.25
11-04-2024 15:00,27.75,122.75
11-04-2024 16:00,35.75,168.25
11-04-2024 17:00,51,267
11-04-2024 18:00,43.75,193
11-04-2024 19:00,45.25,207.25
11-04-2024 20:00,73.5,331.75
11-04-2024 21:00,118,380.25
11-04-2024 22:00,116.75,399.5
11-04-2024 23:00,46.5,262.25
12-04-2024 00:00,37,201.5
12-04-2024 01:00,46.75,232.25
12-04-2024 02:00,65.5,285.25
12-04-2024 03:00,61.75,278.75
12-04-2024 04:00,71.75,257
12-04-2024 05:00,99,296.75
12-04-2024 06:00,143.25,368
12-04-2024 07:00,228.75,462.25
12-04-2024 08:00,197.25,457.75
12-04-2024 09:00,200,485.75
12-04-2024 10:00,184.5,469.75
12-04-2024 11:00,163.75,437.5
12-04-2024 12:00,126.75,427.5
12-04-2024 13:00,100.5,333
12-04-2024 14:00,74.5,243.25
12-04-2024 15:00,62.5,190
12-04-2024 16:00,54.75,180.75
12-04-2024 17:00,44.75,155
12-04-2024 18:00,44.5,167
12-04-2024 19:00,55.75,227.5
12-04-2024 20:00,85,369
12-04-2024 21:00,87.75,397
