CreatedDate,pm25_1201240075,pm10_1201240075,co2_1201240075,voc_1201240075,temperature_1201240075,humidity_1201240075
28-04-2024 09:00,22,60,455.5,335,24,44
28-04-2024 10:00,24,66,466,340,24,44
28-04-2024 11:00,27,73,463,321,24,45
28-04-2024 12:00,27.5,75,452.5,292.5,24,45
28-04-2024 13:00,25.5,69,438.5,252,24,45
28-04-2024 14:00,23.5,64,428,199.5,24,45
28-04-2024 15:00,22,61,421,169.5,24,45
28-04-2024 16:00,21.5,59,420,141,24,45
28-04-2024 17:00,21,56.5,409,123.5,24,45
28-04-2024 18:00,21,54.5,400,105.5,24,45
28-04-2024 19:00,20.5,55,394,114,25,44
28-04-2024 20:00,21,56,398,126.5,24.5,44
28-04-2024 21:00,21,57,395.5,134.5,24,43
28-04-2024 22:00,22,60.5,396,148,24,43
28-04-2024 23:00,26,70,397.5,166.5,24,43
29-04-2024 00:00,29,82,399,197.5,24,44
29-04-2024 01:00,32,89.5,404,233,24,44
29-04-2024 02:00,33,92,408,252.5,24,44
29-04-2024 03:00,33.5,94,408.5,268.5,24,44
29-04-2024 04:00,34.5,96,408.5,289.5,24,44
29-04-2024 05:00,35,99,409.5,302.5,24.5,43
29-04-2024 06:00,35,99,409.5,302,24,43
29-04-2024 07:00,34,95.5,414,323,24.5,43
29-04-2024 08:00,34,96,417.5,351.5,24.5,43
29-04-2024 09:00,28.5,78.5,472,572,24,43
29-04-2024 10:00,24.5,66.5,507,516,24,41.5
29-04-2024 11:00,22.5,60.5,601.5,475.5,23.5,41
29-04-2024 12:00,20,53,755,455,24,41
29-04-2024 13:00,17.5,45.5,914,438,24,41
29-04-2024 14:00,15.5,41,981.5,385.5,24,42.5
29-04-2024 15:00,16.5,43,979,308,24.5,43.5
29-04-2024 16:00,15,39.5,1019.5,284,24.5,41.5
29-04-2024 17:00,13,32,1058,266.5,24,40.5
29-04-2024 18:00,9.5,24,1050,250.5,24,40.5
29-04-2024 19:00,7.5,17.5,997,240,24,41
29-04-2024 20:00,6,13.5,917,213.5,23,41
29-04-2024 21:00,6,14.5,914,251,23.5,42
29-04-2024 22:00,12,37,896,284,24,42
29-04-2024 23:00,14.5,38,823,264.5,24,42.5
30-04-2024 00:00,14.5,38,775.5,273,24,43
30-04-2024 01:00,14,36,759.5,296.5,24,43
30-04-2024 02:00,14,36,750,325,24,43
30-04-2024 03:00,15,39,730.5,351.5,24,43
30-04-2024 04:00,19,49,698.5,337.5,24,43
30-04-2024 05:00,21.5,58,660,318,24,43
30-04-2024 06:00,24,65,630.5,316.5,24,43
30-04-2024 07:00,26.5,72,606.5,314.5,24,43
30-04-2024 08:00,28,79,588,283.5,24,43
30-04-2024 09:00,24.5,66.5,575.5,273.5,24,42.5
30-04-2024 10:00,20,53,584.5,241,23.5,41.5
30-04-2024 11:00,14,35.5,677.5,164,23,41
30-04-2024 12:00,10,24,820.5,153,24,41
30-04-2024 13:00,7.5,18,921.5,154,24,42
30-04-2024 14:00,9,21.5,970.5,152,23.5,41
30-04-2024 15:00,12,30.5,1063,172,24,41
30-04-2024 16:00,13.5,34,1174,204.5,24,41
30-04-2024 17:00,9,21,1221,201.5,24,41
30-04-2024 18:00,7,15.5,1229,216,24,41
30-04-2024 19:00,8,19.5,1176.5,211.5,23,40
30-04-2024 20:00,6.5,15.5,1074.5,205,23,40.5
30-04-2024 21:00,9,20.5,1012.5,215,23,41
30-04-2024 22:00,14,37.5,974,226,23,41
30-04-2024 23:00,16.5,43,914,218,23,41
,,,,,,
,,,,,,
