CreatedDate,pm25_WorkStation1,pm10_WorkStation1,co2_WorkStation1,voc_WorkStation1
27-04-2024 17:30,9,22,513,137
27-04-2024 17:45,9,22,509,136
27-04-2024 18:00,9,23,507,136
27-04-2024 18:15,9,23,504,136
27-04-2024 18:30,9,22,500,139
27-04-2024 18:45,9,22,497,140
27-04-2024 19:00,8,21,493,143
27-04-2024 19:15,8,20,488,141
27-04-2024 19:30,8,20,482,141
27-04-2024 19:45,8,20,478,142
27-04-2024 20:00,8,20,477,142
27-04-2024 20:15,8,20,477,152
27-04-2024 20:30,8,20,474,153
27-04-2024 20:45,9,23,473,159
27-04-2024 21:00,10,27,468,161
27-04-2024 21:15,12,32,465,155
27-04-2024 21:30,15,39,464,145
27-04-2024 21:45,15,40,462,134
27-04-2024 22:00,18,47,458,126
27-04-2024 22:15,19,52,454,121
27-04-2024 22:30,20,55,454,121
27-04-2024 22:45,21,57,454,122
27-04-2024 23:00,21,58,454,128
27-04-2024 23:15,21,58,455,131
27-04-2024 23:30,21,59,451,131
27-04-2024 23:45,21,59,453,141
