date,pm25,pm10,aqi
2024-05-01,76.95833333333333,280.2083333333333,244.29166666666666
2024-05-02,88.41666666666667,277.375,252.04166666666666
2024-05-03,162.52100840336135,380.92436974789916,357.14285714285717
2024-05-04,180.29166666666666,492.0833333333333,494.0
2024-05-05,141.40833333333333,363.7916666666667,339.39166666666665
2024-05-06,126.90082644628099,396.9834710743802,381.2396694214876
2024-05-07,180.21666666666667,450.0833333333333,441.45
2024-05-08,64.625,270.675,221.96666666666667
2024-05-09,48.583333333333336,185.66666666666666,157.125
2024-05-10,63.26086956521739,241.47826086956522,217.1304347826087
2024-05-11,49.90756302521008,311.57142857142856,287.8487394957983
2024-05-12,72.0,207.20833333333334,179.75
2024-05-13,81.20833333333333,254.58333333333334,232.79166666666666
2024-05-14,142.6060606060606,329.1818181818182,319.6868686868687
2024-05-15,112.375,294.80833333333334,268.475
2024-05-16,89.75,265.6666666666667,227.75
2024-05-17,82.5546218487395,332.89915966386553,309.83193277310926
2024-05-18,99.08333333333333,360.7083333333333,326.125
2024-05-19,109.04166666666667,333.9166666666667,299.625
2024-05-20,69.75,319.7083333333333,286.4583333333333
2024-05-21,63.416666666666664,277.5,232.20833333333334
2024-05-22,65.84166666666667,223.55833333333334,182.44166666666666
2024-05-23,45.458333333333336,161.0,140.125
2024-05-24,48.125,159.0,139.33333333333334
2024-05-25,60.083333333333336,219.04166666666666,181.125
2024-05-26,79.875,289.7916666666667,266.875
2024-05-27,78.79166666666667,311.4166666666667,283.4583333333333
2024-05-28,71.79166666666667,300.125,268.5
2024-05-29,50.99173553719008,300.20661157024796,262.31404958677683
2024-05-30,43.125,267.375,229.25
2024-05-31,56.016949152542374,292.4491525423729,275.91525423728814
