CreatedDate,pm25_Lakshmi K: Living room,pm10_Lakshmi K: Living room,aqi_Lakshmi K: Living room
08-05-2024 09:00,72,246,197
08-05-2024 09:15,75,252,202
08-05-2024 09:30,76,254,204
08-05-2024 09:45,78,258,208
08-05-2024 10:00,81,263,213
08-05-2024 10:15,82,265,215
08-05-2024 10:30,83,267,217
08-05-2024 10:45,83,267,217
08-05-2024 11:00,82,264,214
08-05-2024 11:15,82,266,216
08-05-2024 11:30,84,268,218
08-05-2024 11:45,82,266,216
08-05-2024 12:00,81,264,214
08-05-2024 12:15,80,261,211
08-05-2024 12:30,79,260,210
08-05-2024 12:45,78,258,208
08-05-2024 13:00,77,256,206
08-05-2024 13:15,76,254,204
08-05-2024 13:30,74,251,201
08-05-2024 13:45,72,246,197
08-05-2024 14:00,73,247,198
08-05-2024 14:15,71,241,194
08-05-2024 14:30,71,240,193
08-05-2024 14:45,69,233,189
08-05-2024 15:00,68,228,185
08-05-2024 15:15,66,220,180
08-05-2024 15:30,66,220,180
08-05-2024 15:45,68,228,185
08-05-2024 16:00,67,223,182
08-05-2024 16:15,67,223,182
08-05-2024 16:30,66,219,179
08-05-2024 16:45,64,215,177
08-05-2024 17:00,65,216,177
08-05-2024 17:15,63,208,172
08-05-2024 17:30,61,202,168
08-05-2024 17:45,62,204,169
08-05-2024 18:00,63,210,173
08-05-2024 18:15,62,203,169
08-05-2024 18:30,62,205,170
08-05-2024 18:45,62,206,171
08-05-2024 19:00,64,214,176
08-05-2024 19:15,64,213,175
08-05-2024 19:30,67,223,182
08-05-2024 19:45,68,227,185
08-05-2024 20:00,66,222,181
08-05-2024 20:15,68,228,185
08-05-2024 20:30,69,231,187
08-05-2024 20:45,70,235,190
08-05-2024 21:00,71,239,193
08-05-2024 21:15,68,229,186
08-05-2024 21:30,69,234,189
08-05-2024 21:45,70,235,190
08-05-2024 22:00,67,226,184
08-05-2024 22:15,67,224,183
08-05-2024 22:30,67,224,183
08-05-2024 22:45,65,216,177
08-05-2024 23:00,62,202,168
08-05-2024 23:15,61,196,164
08-05-2024 23:30,61,199,166
08-05-2024 23:45,63,208,172
09-05-2024 00:00,65,218,179
09-05-2024 00:15,65,216,177
09-05-2024 00:30,65,215,177
09-05-2024 00:45,65,217,178
09-05-2024 01:00,65,215,177
09-05-2024 01:15,61,199,166
09-05-2024 01:30,58,185,157
09-05-2024 01:45,57,181,154
09-05-2024 02:00,57,179,153
09-05-2024 02:15,57,180,153
09-05-2024 02:30,57,182,155
09-05-2024 02:45,56,177,151
09-05-2024 03:00,55,174,149
09-05-2024 03:15,55,171,147
09-05-2024 03:30,54,168,145
09-05-2024 03:45,52,161,141
09-05-2024 04:00,52,161,141
09-05-2024 04:15,52,161,141
09-05-2024 04:30,52,162,141
09-05-2024 04:45,49,148,132
09-05-2024 05:00,47,140,127
09-05-2024 05:15,46,138,125
09-05-2024 05:30,47,140,127
09-05-2024 05:45,48,147,131
09-05-2024 06:00,49,151,134
09-05-2024 06:15,50,151,134
09-05-2024 06:30,53,163,142
09-05-2024 06:45,53,167,145
09-05-2024 07:00,53,164,143
09-05-2024 07:15,51,158,139
09-05-2024 07:30,53,164,143
09-05-2024 07:45,52,162,141
