CreatedDate,Pm2.5,Pm10
08-04-2024 09:00,256.25,728
08-04-2024 10:00,233.75,549.25
08-04-2024 11:00,147,352.5
08-04-2024 12:00,82.5,195.25
08-04-2024 13:00,38.5,139.5
08-04-2024 14:00,27.75,105.75
08-04-2024 15:00,27,114.5
08-04-2024 16:00,26,135.75
08-04-2024 17:00,22.75,136.25
08-04-2024 18:00,22.5,116.25
08-04-2024 19:00,27,110.25
08-04-2024 20:00,40.25,159.25
08-04-2024 21:00,62.25,294.75
08-04-2024 22:00,98,593.25
08-04-2024 23:00,119.75,661.75
09-04-2024 00:00,105,530.5
09-04-2024 01:00,74.5,274
09-04-2024 02:00,53.25,165
09-04-2024 03:00,51.5,164.25
09-04-2024 04:00,63.5,168.5
09-04-2024 05:00,71.25,165.25
09-04-2024 06:00,83.25,193.25
09-04-2024 07:00,99.25,326.25
09-04-2024 08:00,133.25,600.75
09-04-2024 09:00,150,618.75
09-04-2024 10:00,135.75,509.5
09-04-2024 11:00,104,333
09-04-2024 12:00,78,227.75
09-04-2024 13:00,56,186.5
09-04-2024 14:00,38.75,171.75
09-04-2024 15:00,46.25,159.5
09-04-2024 16:00,33,128.25
09-04-2024 17:00,25,104.75
09-04-2024 18:00,21.75,89.75
09-04-2024 19:00,31,109.75
09-04-2024 20:00,39.5,157.5
09-04-2024 21:00,74.5,336.25
09-04-2024 22:00,121.75,612.25
09-04-2024 23:00,90.75,374.5
10-04-2024 00:00,74,252.25
10-04-2024 01:00,80.25,228
10-04-2024 02:00,83.5,250.75
10-04-2024 03:00,92.5,265.25
10-04-2024 04:00,99.25,234.75
10-04-2024 05:00,106.25,218.5
10-04-2024 06:00,108,219
10-04-2024 07:00,115.75,316.25
10-04-2024 08:00,129.5,509.5
10-04-2024 09:00,124,457
10-04-2024 10:00,106.25,281.25
10-04-2024 11:00,85.25,229.75
10-04-2024 12:00,68.5,194
10-04-2024 13:00,57.25,184.25
10-04-2024 14:00,69.25,194.5
10-04-2024 15:00,57.5,174.5
10-04-2024 16:00,54.5,162
10-04-2024 17:00,50.5,158
10-04-2024 18:00,53.5,167.75
10-04-2024 19:00,60.25,193.75
10-04-2024 20:00,68.75,248.5
10-04-2024 21:00,67.5,291.75
10-04-2024 22:00,50,333.75
10-04-2024 23:00,58,364.5
11-04-2024 00:00,58.5,346
11-04-2024 01:00,42.75,200.25
11-04-2024 02:00,46.5,227
11-04-2024 03:00,56.25,275
11-04-2024 04:00,71.25,282.25
11-04-2024 05:00,67.75,240.5
11-04-2024 06:00,66.25,218.75
11-04-2024 07:00,74.75,253
11-04-2024 08:00,87.75,290.25
11-04-2024 09:00,115.25,294.5
11-04-2024 10:00,141.75,369.75
11-04-2024 11:00,168,405.5
11-04-2024 12:00,107.5,303.25
11-04-2024 13:00,55.75,200.75
11-04-2024 14:00,40,167.5
11-04-2024 15:00,40.5,137.25
11-04-2024 16:00,42,147.75
11-04-2024 17:00,42.75,154
11-04-2024 18:00,46.5,196.75
11-04-2024 19:00,50,206
11-04-2024 20:00,52,213.5
11-04-2024 21:00,63,268
11-04-2024 22:00,47.75,285.25
11-04-2024 23:00,39.5,230
12-04-2024 00:00,49.75,304.5
12-04-2024 01:00,65,340.25
12-04-2024 02:00,62.75,292.25
12-04-2024 03:00,77,289
12-04-2024 04:00,90.25,277.5
12-04-2024 05:00,102,316.25
12-04-2024 06:00,99.25,269.5
12-04-2024 07:00,105.75,339.25
12-04-2024 08:00,124.75,486
12-04-2024 09:00,139.75,421.25
12-04-2024 10:00,164.25,492.25
12-04-2024 11:00,142,417
12-04-2024 12:00,111.25,291
12-04-2024 13:00,89.75,224.5
12-04-2024 14:00,80.5,221.25
12-04-2024 15:00,63.25,164.75
12-04-2024 16:00,55.75,164.25
12-04-2024 17:00,39.5,141
12-04-2024 18:00,39.75,153.5
12-04-2024 19:00,56,202.5
12-04-2024 20:00,84.25,301.5
12-04-2024 21:00,74,261.5
12-04-2024 22:00,90,325.5
12-04-2024 23:00,100.5,425.75
13-04-2024 00:00,91.5,377.25
13-04-2024 01:00,77,272.5
