CreatedDate,pm25_Surender: Living room,pm10_Surender: Living room,aqi_Surender: Living room
02-05-2024 22:30,58,150,133
02-05-2024 22:45,61,153,135
02-05-2024 23:00,65,157,138
02-05-2024 23:15,66,159,139
02-05-2024 23:30,70,165,143
02-05-2024 23:45,71,165,143
03-05-2024 00:00,72,167,145
03-05-2024 00:15,73,167,145
03-05-2024 00:30,76,170,153
03-05-2024 00:45,82,176,173
03-05-2024 01:00,86,180,187
03-05-2024 01:15,87,182,190
03-05-2024 01:30,95,189,217
03-05-2024 01:45,105,198,250
03-05-2024 02:00,116,207,287
03-05-2024 02:15,136,227,312
03-05-2024 02:30,144,235,318
03-05-2024 02:45,163,259,333
03-05-2024 03:00,178,280,345
03-05-2024 03:15,194,304,357
03-05-2024 03:30,204,321,365
03-05-2024 03:45,207,324,367
03-05-2024 04:00,201,316,362
03-05-2024 04:15,194,303,357
03-05-2024 04:30,192,300,355
03-05-2024 04:45,193,303,356
03-05-2024 05:00,193,303,356
03-05-2024 05:15,186,292,351
03-05-2024 05:30,162,257,332
03-05-2024 05:45,157,250,328
03-05-2024 06:00,156,248,328
03-05-2024 06:15,151,243,324
03-05-2024 06:30,152,244,325
03-05-2024 06:45,172,272,340
03-05-2024 07:00,152,243,325
03-05-2024 07:15,162,256,332
03-05-2024 07:30,172,272,340
03-05-2024 07:45,171,271,339
03-05-2024 08:00,159,254,330
03-05-2024 08:15,140,231,315
03-05-2024 08:30,113,205,277
03-05-2024 08:45,101,195,237
03-05-2024 09:00,111,205,270
03-05-2024 09:15,153,250,325
03-05-2024 09:30,182,288,348
03-05-2024 09:45,101,194,237
03-05-2024 10:00,74,168,147
03-05-2024 10:15,64,156,137
03-05-2024 10:30,62,154,136
03-05-2024 10:45,56,144,129
03-05-2024 11:00,58,150,133
03-05-2024 11:15,53,135,123
03-05-2024 11:30,49,125,117
03-05-2024 11:45,46,119,113
03-05-2024 12:00,44,114,109
03-05-2024 12:15,44,115,110
03-05-2024 12:30,59,149,133
03-05-2024 12:45,43,112,108
03-05-2024 13:00,45,117,111
03-05-2024 13:15,33,90,90
03-05-2024 13:30,32,86,86
03-05-2024 13:45,31,86,86
03-05-2024 14:00,43,124,116
03-05-2024 14:15,46,134,123
03-05-2024 14:30,45,131,121
03-05-2024 14:45,46,135,123
03-05-2024 15:00,47,135,123
03-05-2024 15:15,48,139,126
03-05-2024 15:30,54,160,140
03-05-2024 15:45,45,129,119
03-05-2024 16:00,44,127,118
03-05-2024 16:15,47,135,123
03-05-2024 16:30,48,141,127
03-05-2024 16:45,53,154,136
03-05-2024 17:00,53,157,138
03-05-2024 17:15,53,154,136
03-05-2024 17:30,61,182,155
03-05-2024 17:45,111,305,270
03-05-2024 18:00,97,278,228
03-05-2024 18:15,70,211,174
03-05-2024 18:30,64,191,161
03-05-2024 18:45,62,186,157
03-05-2024 19:00,63,189,159
03-05-2024 19:15,71,215,177
03-05-2024 19:30,80,247,198
03-05-2024 19:45,85,261,211
03-05-2024 20:00,89,270,220
03-05-2024 20:15,91,275,225
03-05-2024 20:30,88,268,218
03-05-2024 20:45,89,270,220
03-05-2024 21:00,89,270,220
03-05-2024 21:15,88,268,218
03-05-2024 21:30,89,271,221
03-05-2024 21:45,92,275,225
03-05-2024 22:00,99,286,236
03-05-2024 22:15,112,309,273
03-05-2024 22:30,112,310,273
03-05-2024 22:45,112,309,273
03-05-2024 23:00,119,320,297
03-05-2024 23:15,117,319,290
03-05-2024 23:30,114,313,280
03-05-2024 23:45,105,297,250
04-05-2024 00:00,94,279,229
04-05-2024 00:15,90,273,223
04-05-2024 00:30,88,268,218
04-05-2024 00:45,89,270,220
04-05-2024 01:00,88,269,219
04-05-2024 01:15,85,261,211
04-05-2024 01:30,82,256,206
04-05-2024 01:45,81,253,203
04-05-2024 02:00,84,260,210
04-05-2024 02:15,87,266,216
04-05-2024 02:30,96,282,232
04-05-2024 02:45,98,285,235
04-05-2024 03:00,96,281,231
04-05-2024 03:15,92,277,227
04-05-2024 03:30,99,287,237
04-05-2024 03:45,96,282,232
04-05-2024 04:00,89,271,221
04-05-2024 04:15,88,267,217
04-05-2024 04:30,93,277,227
04-05-2024 04:45,104,295,247
04-05-2024 05:00,123,327,302
04-05-2024 05:15,136,345,312
04-05-2024 05:30,142,352,317
04-05-2024 05:45,152,368,325
04-05-2024 06:00,166,383,341
04-05-2024 06:15,189,400,362
04-05-2024 06:30,203,414,380
04-05-2024 06:45,185,398,360
04-05-2024 07:00,170,386,345
04-05-2024 07:15,195,406,370
04-05-2024 07:30,210,421,389
04-05-2024 07:45,208,419,386
04-05-2024 08:00,211,421,389
04-05-2024 08:15,206,416,382
04-05-2024 08:30,204,415,381
04-05-2024 08:45,190,401,364
04-05-2024 09:00,166,384,342
04-05-2024 09:15,185,398,360
04-05-2024 09:30,224,435,406
04-05-2024 09:45,192,402,365
04-05-2024 10:00,189,400,362
04-05-2024 10:15,172,388,348
04-05-2024 10:30,163,381,339
04-05-2024 10:45,151,365,324
04-05-2024 11:00,128,333,306
04-05-2024 11:15,106,299,253
04-05-2024 11:30,95,281,231
04-05-2024 11:45,89,271,221
04-05-2024 12:00,88,268,218
04-05-2024 12:15,88,268,218
04-05-2024 12:30,87,266,216
04-05-2024 12:45,149,362,322
04-05-2024 13:00,95,281,231
04-05-2024 13:15,73,222,181
04-05-2024 13:30,54,158,139
04-05-2024 13:45,47,138,125
04-05-2024 14:00,48,141,127
04-05-2024 14:15,48,141,127
04-05-2024 14:30,51,151,134
04-05-2024 14:45,54,158,139
04-05-2024 15:00,81,250,200
04-05-2024 15:15,78,237,191
04-05-2024 15:30,55,161,141
04-05-2024 15:45,50,146,131
04-05-2024 16:00,50,145,130
04-05-2024 16:15,45,131,121
04-05-2024 16:30,39,111,107
04-05-2024 16:45,40,115,110
04-05-2024 17:00,41,118,112
04-05-2024 17:15,40,113,109
04-05-2024 17:30,53,156,137
04-05-2024 17:45,86,264,214
04-05-2024 18:00,139,348,315
04-05-2024 18:15,103,294,244
04-05-2024 18:30,88,269,219
04-05-2024 18:45,87,266,216
04-05-2024 19:00,87,266,216
04-05-2024 19:15,89,271,221
04-05-2024 19:30,91,273,223
04-05-2024 19:45,121,322,301
04-05-2024 20:00,134,343,311
04-05-2024 20:15,119,321,297
04-05-2024 20:30,118,319,293
04-05-2024 20:45,133,341,310
04-05-2024 21:00,147,361,321
04-05-2024 21:15,139,348,315
04-05-2024 21:30,137,345,313
04-05-2024 21:45,127,332,305
04-05-2024 22:00,110,304,267
04-05-2024 22:15,105,297,250
04-05-2024 22:30,99,287,237
04-05-2024 22:45,99,287,237
04-05-2024 23:00,95,280,230
04-05-2024 23:15,92,275,225
04-05-2024 23:30,90,272,222
04-05-2024 23:45,97,283,233
05-05-2024 00:00,99,287,237
05-05-2024 00:15,95,280,230
05-05-2024 00:30,98,285,235
05-05-2024 00:45,93,277,227
05-05-2024 01:00,89,270,220
05-05-2024 01:15,93,277,227
05-05-2024 01:30,89,270,220
05-05-2024 01:45,89,269,219
05-05-2024 02:00,88,266,216
05-05-2024 02:15,87,266,216
05-05-2024 02:30,98,286,236
05-05-2024 02:45,89,270,220
05-05-2024 03:00,83,257,207
05-05-2024 03:15,78,248,199
05-05-2024 03:30,76,241,194
05-05-2024 03:45,73,224,183
05-05-2024 04:00,71,215,177
05-05-2024 04:15,64,192,161
05-05-2024 04:30,59,176,151
05-05-2024 04:45,63,188,159
05-05-2024 05:00,71,218,179
05-05-2024 05:15,86,264,214
05-05-2024 05:30,96,282,232
05-05-2024 05:45,101,290,240
05-05-2024 06:00,122,325,302
05-05-2024 06:15,147,360,321
05-05-2024 06:30,152,367,325
05-05-2024 06:45,147,361,321
05-05-2024 07:00,138,347,314
05-05-2024 07:15,125,329,304
05-05-2024 07:30,108,303,260
05-05-2024 07:45,90,272,222
05-05-2024 08:00,83,256,206
05-05-2024 08:15,87,264,214
05-05-2024 08:30,88,269,219
05-05-2024 08:45,87,264,214
05-05-2024 09:00,120,304,300
05-05-2024 09:15,204,416,382
05-05-2024 09:30,223,433,404
05-05-2024 09:45,149,352,322
05-05-2024 10:00,134,338,311
05-05-2024 10:15,91,273,223
05-05-2024 10:30,88,267,217
05-05-2024 10:45,97,284,234
05-05-2024 11:00,112,309,273
05-05-2024 11:15,110,306,267
05-05-2024 11:30,109,304,263
05-05-2024 11:45,96,282,232
05-05-2024 12:00,81,253,203
05-05-2024 12:15,78,245,197
05-05-2024 12:30,54,159,139
05-05-2024 12:45,51,149,133
05-05-2024 13:00,62,186,157
05-05-2024 13:15,65,196,164
05-05-2024 13:30,56,167,145
05-05-2024 13:45,61,181,154
05-05-2024 14:00,61,183,155
05-05-2024 14:15,60,180,153
05-05-2024 14:30,58,171,147
05-05-2024 14:45,51,150,133
05-05-2024 15:00,47,136,124
05-05-2024 15:15,45,129,119
05-05-2024 15:30,46,134,123
05-05-2024 15:45,48,141,127
05-05-2024 16:00,48,141,127
05-05-2024 16:15,51,151,134
05-05-2024 16:30,53,155,137
05-05-2024 16:45,50,147,131
05-05-2024 17:00,48,142,128
05-05-2024 17:15,52,155,137
05-05-2024 17:30,84,254,204
05-05-2024 17:45,103,294,244
05-05-2024 18:00,84,259,209
05-05-2024 18:15,70,214,176
05-05-2024 18:30,53,155,137
05-05-2024 18:45,44,127,118
05-05-2024 19:00,55,163,142
05-05-2024 19:15,63,189,159
05-05-2024 19:30,61,182,155
05-05-2024 19:45,66,198,165
05-05-2024 20:00,71,214,176
05-05-2024 20:15,76,238,192
05-05-2024 20:30,77,243,195
05-05-2024 20:45,75,234,189
05-05-2024 21:00,78,245,197
05-05-2024 21:15,82,256,206
05-05-2024 21:30,86,262,212
05-05-2024 21:45,86,261,211
05-05-2024 22:00,87,265,215
05-05-2024 22:15,87,266,216
05-05-2024 22:30,88,267,217
05-05-2024 22:45,94,279,229
05-05-2024 23:00,92,276,226
05-05-2024 23:15,90,272,222
05-05-2024 23:30,92,276,226
05-05-2024 23:45,93,277,227
06-05-2024 00:00,94,279,229
06-05-2024 00:15,100,288,238
06-05-2024 00:30,110,305,267
06-05-2024 00:45,110,306,267
06-05-2024 01:00,100,288,238
06-05-2024 01:15,93,277,227
06-05-2024 01:30,88,266,216
06-05-2024 01:45,83,257,207
06-05-2024 02:00,77,244,196
06-05-2024 02:15,73,223,182
06-05-2024 02:30,70,210,173
06-05-2024 02:45,70,213,175
06-05-2024 03:00,77,243,195
06-05-2024 03:15,78,249,199
06-05-2024 03:30,78,248,199
06-05-2024 03:45,78,248,199
06-05-2024 04:00,77,243,195
06-05-2024 04:15,77,245,197
06-05-2024 04:30,79,250,200
06-05-2024 04:45,82,255,205
06-05-2024 05:00,82,256,206
06-05-2024 05:15,86,264,214
06-05-2024 05:30,86,263,213
06-05-2024 05:45,83,257,207
06-05-2024 06:00,82,256,206
06-05-2024 06:15,92,274,224
06-05-2024 06:30,141,350,316
06-05-2024 06:45,136,343,312
06-05-2024 07:00,118,320,293
06-05-2024 07:15,129,334,307
06-05-2024 07:30,148,362,322
06-05-2024 07:45,161,380,338
06-05-2024 08:00,144,354,318
06-05-2024 08:15,126,331,305
06-05-2024 08:30,116,315,287
06-05-2024 08:45,110,306,267
06-05-2024 09:00,104,295,247
06-05-2024 09:15,99,286,236
06-05-2024 09:30,90,271,221
06-05-2024 09:45,74,228,185
06-05-2024 10:00,60,179,153
06-05-2024 10:15,65,196,164
06-05-2024 10:30,115,313,283
06-05-2024 10:45,68,207,171
06-05-2024 11:00,52,153,135
06-05-2024 11:15,52,153,135
06-05-2024 11:30,44,129,119
06-05-2024 11:45,39,109,106
06-05-2024 12:00,37,102,101
06-05-2024 12:15,62,184,156
06-05-2024 12:30,73,223,182
06-05-2024 12:45,53,156,137
06-05-2024 13:00,46,134,123
06-05-2024 13:15,44,127,118
06-05-2024 13:30,46,132,121
06-05-2024 13:45,45,128,119
06-05-2024 14:00,46,131,121
06-05-2024 14:15,43,122,115
06-05-2024 14:30,41,116,111
06-05-2024 14:45,40,112,108
06-05-2024 15:00,40,112,108
06-05-2024 15:15,40,113,109
06-05-2024 15:30,37,104,103
06-05-2024 15:45,39,112,108
06-05-2024 16:00,41,119,113
06-05-2024 16:15,42,121,114
06-05-2024 16:30,42,122,115
06-05-2024 16:45,41,117,111
06-05-2024 17:00,39,111,107
06-05-2024 17:15,37,101,101
06-05-2024 17:30,84,253,203
06-05-2024 17:45,50,148,132
06-05-2024 18:00,40,113,109
06-05-2024 18:15,39,111,107
06-05-2024 18:30,40,112,108
06-05-2024 18:45,40,114,109
06-05-2024 19:00,46,133,122
06-05-2024 19:15,59,174,149
06-05-2024 19:30,76,238,192
06-05-2024 19:45,80,252,202
06-05-2024 20:00,85,262,212
06-05-2024 20:15,91,275,225
06-05-2024 20:30,87,266,216
06-05-2024 20:45,82,256,206
06-05-2024 21:00,85,262,212
06-05-2024 21:15,85,263,213
06-05-2024 21:30,81,255,205
06-05-2024 21:45,88,267,217
06-05-2024 22:00,88,267,217
06-05-2024 22:15,90,272,222
06-05-2024 22:30,97,283,233
06-05-2024 22:45,92,276,226
06-05-2024 23:00,94,280,230
06-05-2024 23:15,103,293,243
06-05-2024 23:30,103,293,243
06-05-2024 23:45,110,305,267
07-05-2024 00:00,110,306,267
07-05-2024 00:15,115,313,283
07-05-2024 00:30,124,327,303
07-05-2024 00:45,130,335,308
07-05-2024 01:00,134,342,311
07-05-2024 01:15,141,352,316
07-05-2024 01:30,147,361,321
07-05-2024 01:45,142,353,317
07-05-2024 02:00,135,344,312
07-05-2024 02:15,156,373,329
07-05-2024 02:30,157,373,329
07-05-2024 02:45,157,375,331
07-05-2024 03:00,148,362,322
07-05-2024 03:15,147,361,321
07-05-2024 03:30,149,363,322
07-05-2024 03:45,152,367,325
07-05-2024 04:00,150,364,323
07-05-2024 04:15,144,356,318
07-05-2024 04:30,143,354,318
07-05-2024 04:45,162,378,335
07-05-2024 05:00,175,390,350
07-05-2024 05:15,175,389,349
07-05-2024 05:30,167,384,342
07-05-2024 05:45,164,382,340
07-05-2024 06:00,161,379,336
07-05-2024 06:15,156,372,328
07-05-2024 06:30,154,369,326
07-05-2024 06:45,189,402,365
07-05-2024 07:00,186,399,361
07-05-2024 07:15,168,385,344
07-05-2024 07:30,179,393,354
07-05-2024 07:45,217,427,396
07-05-2024 08:00,229,438,410
07-05-2024 08:15,255,466,445
07-05-2024 08:30,262,472,452
07-05-2024 08:45,267,477,459
07-05-2024 09:00,262,472,452
07-05-2024 09:15,252,462,440
07-05-2024 09:30,251,460,438
07-05-2024 09:45,269,478,460
07-05-2024 10:00,323,516,508
07-05-2024 10:15,305,504,492
07-05-2024 10:30,224,435,406
07-05-2024 10:45,134,342,311
07-05-2024 11:00,106,298,253
07-05-2024 11:15,85,262,212
07-05-2024 11:30,75,235,190
07-05-2024 11:45,77,243,195
07-05-2024 12:00,83,258,208
07-05-2024 12:15,80,252,202
07-05-2024 12:30,73,225,183
07-05-2024 12:45,78,247,198
07-05-2024 13:00,74,228,185
07-05-2024 13:15,72,219,179
07-05-2024 13:30,68,205,170
07-05-2024 13:45,68,206,171
07-05-2024 14:00,76,237,191
07-05-2024 14:15,73,222,181
07-05-2024 14:30,68,206,171
07-05-2024 14:45,64,194,163
07-05-2024 15:00,67,202,168
07-05-2024 15:15,71,215,177
07-05-2024 15:30,71,217,178
07-05-2024 15:45,74,228,185
07-05-2024 16:00,74,230,187
07-05-2024 16:15,75,234,189
07-05-2024 16:30,91,272,222
07-05-2024 16:45,80,251,201
07-05-2024 17:00,76,238,192
07-05-2024 17:15,75,232,188
07-05-2024 17:30,74,229,186
07-05-2024 17:45,74,229,186
07-05-2024 18:00,73,223,182
07-05-2024 18:15,73,222,181
07-05-2024 18:30,75,235,190
07-05-2024 18:45,77,243,195
07-05-2024 19:00,81,254,204
07-05-2024 19:15,82,256,206
07-05-2024 19:30,87,265,215
07-05-2024 19:45,92,276,226
07-05-2024 20:00,94,279,229
07-05-2024 20:15,92,276,226
07-05-2024 20:30,90,274,224
07-05-2024 20:45,91,275,225
07-05-2024 21:00,91,274,224
07-05-2024 21:15,89,271,221
07-05-2024 21:30,90,272,222
07-05-2024 21:45,89,270,220
07-05-2024 22:00,93,277,227
07-05-2024 22:15,93,277,227
07-05-2024 22:30,96,282,232
07-05-2024 22:45,97,283,233
07-05-2024 23:00,95,281,231
07-05-2024 23:15,93,278,228
07-05-2024 23:30,92,276,226
07-05-2024 23:45,96,282,232
08-05-2024 00:00,97,284,234
08-05-2024 00:15,100,289,239
08-05-2024 00:30,94,279,229
08-05-2024 00:45,89,271,221
08-05-2024 01:00,87,263,213
08-05-2024 01:15,84,260,210
08-05-2024 01:30,83,258,208
08-05-2024 01:45,87,264,214
08-05-2024 02:00,92,276,226
08-05-2024 02:15,95,280,230
08-05-2024 02:30,91,274,224
08-05-2024 02:45,88,268,218
08-05-2024 03:00,87,265,215
08-05-2024 03:15,87,265,215
08-05-2024 03:30,87,264,214
08-05-2024 03:45,87,264,214
08-05-2024 04:00,86,263,213
08-05-2024 04:15,85,261,211
08-05-2024 04:30,83,258,208
08-05-2024 04:45,81,255,205
08-05-2024 05:00,81,253,203
08-05-2024 05:15,79,250,200
08-05-2024 05:30,78,249,199
08-05-2024 05:45,76,242,195
08-05-2024 06:00,76,238,192
08-05-2024 06:15,76,239,193
08-05-2024 06:30,77,244,196
08-05-2024 06:45,79,249,199
08-05-2024 07:00,80,252,202
08-05-2024 07:15,79,249,199
08-05-2024 07:30,78,246,197
08-05-2024 07:45,78,247,198
08-05-2024 08:00,75,233,189
08-05-2024 08:15,73,223,182
08-05-2024 08:30,74,228,185
08-05-2024 08:45,77,239,193
08-05-2024 09:00,82,256,206
08-05-2024 09:15,331,513,504
08-05-2024 09:30,238,442,415
08-05-2024 09:45,92,275,225
08-05-2024 10:00,90,273,223
08-05-2024 10:15,85,262,212
08-05-2024 10:30,82,255,205
08-05-2024 10:45,82,257,207
08-05-2024 11:00,81,254,204
08-05-2024 11:15,80,251,201
08-05-2024 11:30,77,247,198
08-05-2024 11:45,77,243,195
08-05-2024 12:00,78,245,197
08-05-2024 12:15,79,251,201
08-05-2024 12:30,82,256,206
08-05-2024 12:45,80,252,202
08-05-2024 13:00,80,252,202
08-05-2024 13:15,79,251,201
08-05-2024 13:30,76,239,193
08-05-2024 13:45,74,230,187
08-05-2024 14:00,74,231,187
08-05-2024 14:15,73,224,183
08-05-2024 14:30,75,233,189
08-05-2024 14:45,72,219,179
08-05-2024 15:00,71,214,176
08-05-2024 15:15,71,214,176
08-05-2024 15:30,70,213,175
08-05-2024 15:45,70,213,175
08-05-2024 16:00,69,208,172
08-05-2024 16:15,65,194,163
08-05-2024 16:30,61,182,155
08-05-2024 16:45,67,200,167
08-05-2024 17:00,67,201,167
08-05-2024 17:15,67,202,168
08-05-2024 17:30,68,204,169
08-05-2024 17:45,72,224,183
08-05-2024 18:00,82,255,205
08-05-2024 18:15,72,219,179
08-05-2024 18:30,68,205,170
08-05-2024 18:45,68,207,171
08-05-2024 19:00,70,213,175
08-05-2024 19:15,72,222,181
08-05-2024 19:30,73,225,183
08-05-2024 19:45,81,253,203
08-05-2024 20:00,80,253,203
08-05-2024 20:15,80,252,202
08-05-2024 20:30,82,256,206
08-05-2024 20:45,84,260,210
08-05-2024 21:00,85,261,211
08-05-2024 21:15,87,265,215
08-05-2024 21:30,83,259,209
08-05-2024 21:45,79,249,199
08-05-2024 22:00,75,233,189
08-05-2024 22:15,77,244,196
08-05-2024 22:30,80,251,201
08-05-2024 22:45,81,253,203
08-05-2024 23:00,79,250,200
08-05-2024 23:15,75,233,189
08-05-2024 23:30,73,223,182
08-05-2024 23:45,75,234,189
09-05-2024 00:00,73,226,184
09-05-2024 00:15,71,217,178
09-05-2024 00:30,72,219,179
09-05-2024 00:45,75,234,189
09-05-2024 01:00,76,237,191
09-05-2024 01:15,74,228,185
09-05-2024 01:30,73,225,183
09-05-2024 01:45,70,213,175
09-05-2024 02:00,66,199,166
09-05-2024 02:15,61,182,155
09-05-2024 02:30,57,169,146
09-05-2024 02:45,55,164,143
09-05-2024 03:00,55,162,141
09-05-2024 03:15,55,162,141
09-05-2024 03:30,54,158,139
09-05-2024 03:45,52,153,135
09-05-2024 04:00,51,149,133
09-05-2024 04:15,49,144,129
09-05-2024 04:30,49,145,130
09-05-2024 04:45,48,142,128
09-05-2024 05:00,51,149,133
09-05-2024 05:15,52,151,134
09-05-2024 05:30,52,152,135
09-05-2024 05:45,53,156,137
09-05-2024 06:00,59,175,150
09-05-2024 06:15,57,170,147
09-05-2024 06:30,54,161,141
09-05-2024 06:45,53,155,137
09-05-2024 07:00,53,157,138
09-05-2024 07:15,53,157,138
09-05-2024 07:30,53,158,139
09-05-2024 07:45,53,155,137
09-05-2024 08:00,54,161,141
09-05-2024 08:15,61,184,156
09-05-2024 08:30,73,222,181
09-05-2024 08:45,101,289,239
09-05-2024 09:00,75,228,185
09-05-2024 09:15,65,195,163
09-05-2024 09:30,67,203,169
09-05-2024 09:45,66,199,166
09-05-2024 10:00,62,183,155
09-05-2024 10:15,62,185,157
09-05-2024 10:30,65,196,164
09-05-2024 10:45,66,200,167
09-05-2024 11:00,67,200,167
09-05-2024 11:15,66,198,165
09-05-2024 11:30,70,213,175
09-05-2024 11:45,68,205,170
