date,pm25,pm10,aqi
2024-05-01,53.45744680851064,199.14893617021278,171.89361702127658
2024-05-02,65.05208333333333,185.1875,172.77083333333334
2024-05-03,108.42708333333333,247.88541666666666,243.59375
2024-05-04,121.55208333333333,246.19791666666666,245.3125
2024-05-05,90.09375,215.98958333333334,207.40625
2024-05-06,80.36458333333333,212.78125,206.15625
2024-05-07,125.95876288659794,285.659793814433,273.30927835051546
2024-05-08,64.91836734693878,237.0612244897959,198.90816326530611
2024-05-09,50.458333333333336,174.75,151.45833333333334
2024-05-10,68.3936170212766,189.9468085106383,162.4468085106383
2024-05-11,37.0,236.28358208955223,218.5820895522388
2024-05-12,62.02439024390244,169.109756097561,147.1951219512195
2024-05-13,74.1891891891892,182.97297297297297,177.54054054054055
2024-05-14,77.68852459016394,199.65573770491804,189.91803278688525
2024-05-15,78.04705882352941,185.14117647058825,178.04705882352943
2024-05-16,95.28865979381443,239.41237113402062,227.35051546391753
2024-05-17,61.72826086956522,182.6195652173913,163.2826086956522
2024-05-18,47.810810810810814,199.59459459459458,166.32432432432432
2024-05-19,75.96907216494846,233.50515463917526,206.06185567010309
2024-05-20,53.11224489795919,228.41836734693877,194.5408163265306
2024-05-21,75.46478873239437,278.5633802816901,247.7605633802817
2024-05-22,56.075,237.45,197.65
2024-05-23,44.57575757575758,155.8030303030303,137.04545454545453
2024-05-24,45.297872340425535,142.08510638297872,128.11702127659575
2024-05-25,57.075268817204304,178.67741935483872,159.78494623655914
2024-05-26,49.91919191919192,170.5252525252525,161.53535353535352
2024-05-27,70.42268041237114,218.82474226804123,188.03092783505156
2024-05-28,62.583333333333336,195.79166666666666,191.13541666666666
2024-05-29,53.955555555555556,269.5777777777778,235.8
2024-05-30,38.53260869565217,218.29347826086956,183.92391304347825
2024-05-31,40.53947368421053,192.31578947368422,165.42105263157896
