,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,AQI,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm10,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5,Pm2.5
Date,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-18,2024-05-19,2024-05-20,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-18,2024-05-19,2024-05-20,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-18,2024-05-19,2024-05-20
Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,98.5,288.5,137.25,343.25,246.25,192.75,429.25,211.75,160.75,202.75,170.5,172.75,200.75,244.25,281.25,283.0,227.5,258.25,781.0,,102.25,221.75,155.5,383.5,290.5,223.75,449.25,261.75,191.0,252.75,205.25,208.75,250.0,294.25,331.25,333.0,277.5,308.25,734.75,,38.5,129.25,64.0,168.75,102.5,77.0,246.5,84.75,63.75,80.5,67.75,68.75,79.5,92.75,108.0,108.75,83.5,94.5,498.5,
11,60.0,87.75,121.5,252.75,258.75,123.75,212.5,199.5,169.25,206.75,164.75,174.75,202.25,266.25,235.5,289.5,211.75,263.25,249.25,,60.0,87.75,132.25,296.0,300.25,136.0,259.5,248.75,204.0,256.75,197.5,212.25,251.75,314.75,285.5,339.5,260.25,313.25,299.25,,21.5,32.25,51.5,104.5,106.75,46.75,85.75,78.75,67.75,82.75,64.75,70.0,80.25,106.5,85.0,110.25,79.25,97.25,91.25,
12,54.75,77.5,115.0,243.5,168.0,144.0,197.75,201.5,164.0,212.0,138.25,174.5,194.0,211.5,190.25,283.75,150.5,239.5,185.75,,54.75,77.5,122.5,291.0,201.5,166.25,245.5,251.0,195.75,262.0,157.0,211.75,240.0,256.75,231.75,333.75,175.75,289.5,228.75,,19.75,28.0,47.5,103.0,66.0,56.25,78.5,79.75,65.0,85.5,53.75,69.75,77.25,78.5,72.0,107.25,57.75,87.0,72.0,
13,59.75,85.5,93.25,169.0,155.0,120.25,176.25,195.75,164.5,198.5,150.75,166.75,206.25,171.5,170.0,264.5,151.75,218.75,153.0,,59.75,85.5,94.75,199.75,182.5,130.25,214.5,243.0,197.0,247.5,176.0,200.25,256.25,207.5,204.75,314.5,177.25,266.75,179.5,,21.5,31.5,35.25,67.25,61.0,45.25,70.5,77.25,65.25,78.25,59.0,66.75,82.0,62.75,65.75,97.75,58.25,80.25,58.75,
14,61.0,76.0,120.75,131.75,147.0,113.75,176.5,184.5,171.0,205.25,131.75,150.5,201.5,207.5,196.75,255.25,175.5,181.0,117.0,,61.0,76.0,131.0,147.75,171.0,120.25,214.75,226.75,206.5,255.25,148.0,175.5,246.75,257.5,242.75,305.25,213.25,218.5,125.25,,22.0,27.5,45.0,50.25,57.5,42.5,70.25,73.5,68.25,82.0,50.75,59.0,81.0,76.0,75.0,93.5,68.0,69.0,44.75,
15,72.25,73.0,127.0,165.75,123.25,107.0,177.0,175.5,175.75,204.75,126.25,146.75,151.5,185.75,203.5,240.0,218.75,159.75,92.5,,72.25,73.0,140.75,198.5,135.0,110.25,215.5,213.5,213.5,254.75,139.5,169.75,176.75,227.25,253.0,290.0,267.75,189.75,92.5,,26.25,26.75,48.5,66.0,46.5,39.0,70.75,70.5,70.0,81.25,47.5,57.25,59.0,68.25,77.75,87.25,80.75,61.75,37.25,
16,63.5,68.75,126.0,117.0,132.25,113.25,199.75,164.25,162.5,203.0,165.5,152.0,134.75,162.5,174.75,243.0,211.75,160.75,88.75,,63.5,68.75,139.25,125.5,148.5,119.75,246.75,196.0,194.0,253.0,193.0,177.75,152.25,191.75,212.0,293.0,261.75,191.5,88.75,,22.75,24.75,48.0,43.5,50.5,41.5,80.0,65.5,64.5,80.25,66.25,59.5,52.0,58.25,67.5,88.25,79.5,62.25,37.0,
17,60.75,77.0,174.75,143.0,178.25,135.75,188.0,171.75,186.5,214.5,181.75,180.25,214.5,165.75,236.0,256.25,171.75,178.0,138.5,,60.75,77.0,199.5,162.75,211.25,153.25,232.0,207.75,227.0,264.5,210.5,220.25,263.25,198.25,286.0,306.25,207.75,215.25,160.25,,21.75,28.25,69.5,55.0,71.75,52.5,74.75,68.5,74.5,86.5,72.5,72.25,87.0,59.5,89.25,94.25,66.25,67.5,54.5,
18,90.5,107.5,180.0,248.5,160.0,108.25,187.0,181.25,160.75,207.75,132.25,227.25,219.75,131.75,220.75,240.5,190.5,148.5,148.5,,91.75,112.5,216.5,294.25,188.75,112.5,230.75,221.5,191.0,257.75,148.5,275.0,269.75,147.25,270.75,290.5,228.0,172.5,172.75,,34.25,43.25,73.25,104.25,62.75,39.75,74.5,72.5,63.25,83.0,50.75,92.75,88.75,45.0,81.5,87.25,73.5,57.0,57.0,
19,73.25,121.25,186.25,240.25,155.25,166.25,212.75,185.5,185.0,206.5,141.0,235.5,218.25,178.0,221.0,252.0,201.75,174.5,122.5,,73.25,129.25,228.0,283.0,183.0,199.25,262.75,228.25,225.75,256.5,161.5,278.25,259.75,215.0,271.0,302.0,246.25,211.5,133.75,,26.5,52.75,74.75,97.0,61.25,65.25,85.5,74.0,73.75,82.5,54.25,95.0,95.5,65.25,82.5,92.25,75.75,67.25,46.75,
20,125.0,132.25,220.75,302.75,188.0,214.75,226.0,205.25,209.75,212.0,196.25,248.75,289.5,204.75,274.5,266.0,242.25,204.5,161.25,,137.5,148.25,270.75,331.0,232.25,264.75,276.0,255.25,259.75,262.0,243.5,294.5,336.25,253.75,324.5,316.0,292.25,251.25,191.75,,57.5,58.0,89.25,126.0,74.75,86.25,91.75,81.5,84.25,85.0,78.5,103.5,126.0,77.25,103.0,98.75,87.75,78.0,61.75,
21,104.5,132.5,221.0,313.5,206.5,211.75,221.75,208.5,194.0,177.75,177.5,233.0,254.25,228.5,249.25,264.0,243.5,207.25,155.75,,108.0,149.25,271.0,346.5,256.0,261.75,271.75,258.5,240.25,216.5,216.0,283.0,304.25,278.5,299.25,314.0,293.5,255.0,183.5,,41.0,57.75,89.5,137.5,83.0,84.75,89.75,83.5,77.25,70.5,70.75,96.5,99.25,84.5,91.0,97.5,88.25,78.5,60.0,
22,87.25,133.75,263.75,247.75,219.25,224.5,229.75,197.25,200.0,233.25,182.5,238.5,277.25,239.75,264.75,268.75,264.75,225.25,148.5,,87.25,150.75,303.5,293.75,269.25,274.5,279.75,245.25,249.25,282.5,220.5,287.25,325.0,289.75,314.75,318.75,314.75,275.25,172.5,,32.0,59.0,108.75,103.25,89.0,91.75,94.75,78.25,79.0,86.75,73.25,99.25,112.25,86.75,98.5,100.0,98.25,82.0,56.75,
23,91.0,140.75,279.25,227.5,225.25,245.75,229.25,190.0,208.75,86.25,154.25,272.75,262.5,244.75,281.5,259.75,249.5,229.0,148.5,,91.0,161.5,312.25,277.5,275.25,292.75,279.25,235.0,258.75,88.5,181.5,308.0,310.5,294.75,331.5,309.75,299.5,279.0,172.5,,33.25,68.0,113.75,93.5,91.75,102.5,94.0,75.5,83.75,33.0,60.5,111.75,103.75,89.0,107.0,95.5,90.75,83.0,56.5,
Daily Avg,103.61805555555556,135.47916666666666,222.90625,252.33333333333334,207.09375,190.78125,274.0833333333333,203.35416666666666,169.4375,203.42708333333334,139.11458333333334,198.10416666666666,225.09375,227.34375,246.03125,264.2916666666667,228.90625,232.53125,217.02083333333334,162.0,104.60416666666667,136.875,215.11458333333334,290.34375,244.79166666666666,223.36458333333334,314.2395833333333,248.92708333333334,203.32291666666666,250.55208333333334,161.19791666666666,238.57291666666666,270.5625,271.8229166666667,294.1979166666667,314.2916666666667,274.7083333333333,277.8958333333333,247.83333333333334,193.0,41.84027777777778,59.15625,100.8125,112.03125,85.39583333333333,76.92708333333333,127.1875,83.375,67.10416666666667,81.22916666666667,54.864583333333336,80.01041666666667,91.90625,86.63541666666667,92.66666666666667,98.01041666666667,85.42708333333333,87.16666666666667,91.11458333333333,62.0
